run_id,study,stage,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_estimator,l2_f,l2_fp,l2_f_reweight,l2_fp_reweight,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_ref,n_barrier_crossings,n_round_trips,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,had_nan,runtime_seconds,physics_tag
representative__opes__b2_h6_w2_n10_a1.5__seed0__N1024__T120000__b4_p500_s0.05_ginf__510ea581d75c,opes_wca,representative,opes,opes,0.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.20613568719617617,1.278702291661471,0.7030033559595092,5.817834228421702,162.52762582767167,0.2215418392983503,1.4839619547519023,1.113864064425133,0.9286540613745738,19456.0,9235.0,0.2070703842891798,0.20600380000303528,126.0,4.789946556091309,0.0,137.2481942391023,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed1__N1024__T120000__b4_p500_s0.05_ginf__87cf61d406df,opes_wca,representative,opes,opes,1.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.108857792074452,0.9738196330311917,0.39103914026881936,4.41595999765201,128.85258120377344,0.13191709302994706,0.8201213673109841,0.9689346273120912,0.831869927759667,48966.0,24035.0,0.26694010336379803,0.20314244862369038,127.0,4.65926456451416,0.0,141.36590652912855,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed2__N1024__T120000__b4_p500_s0.05_ginf__a74c9d09e9a8,opes_wca,representative,opes,opes,2.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.10805404198902786,0.9607288795281098,0.3951930244600979,4.368820124140641,135.84761137943562,0.12773986207313465,0.7457181190160492,0.9611709179463511,0.8280789877958921,50853.0,24983.0,0.26232949053880794,0.20170944173796382,127.0,4.663599014282227,0.0,141.00707934703678,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed3__N1024__T120000__b4_p500_s0.05_ginf__a75500bcb1d5,opes_wca,representative,opes,opes,3.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.11554378750155236,0.9907639576012103,0.40684847226156035,4.397872731582274,138.66350619121755,0.137505248769035,0.8179473752681378,0.9936873139724568,0.8464246827738997,47383.0,23245.0,0.25653551834814314,0.2021215968413997,126.0,4.675442695617676,0.0,136.59630771819502,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed4__N1024__T120000__b4_p500_s0.05_ginf__4384bd53a64c,opes_wca,representative,opes,opes,4.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.11812623763321861,1.0045906702634453,0.3838633360412489,4.401819595615873,134.84174874663415,0.14096156311946798,0.8353888599700228,0.8970699017241667,0.8309228071479198,47468.0,23311.0,0.26959839393567453,0.20078667567772268,127.0,4.658364772796631,0.0,141.50404061563313,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed5__N1024__T120000__b4_p500_s0.05_ginf__867bdd83f497,opes_wca,representative,opes,opes,5.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.11099560080587642,0.9904589799905348,0.37092416988235655,4.328652883542554,134.98472079960695,0.13444666844015113,0.8630941516538198,0.8885895686665305,0.8364234560207505,50122.0,24642.0,0.2763561639143415,0.20145800548111312,126.0,4.646536827087402,0.0,141.64911236520857,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed6__N1024__T120000__b4_p500_s0.05_ginf__23390fca0e0e,opes_wca,representative,opes,opes,6.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.1069476223194461,0.9817147023239591,0.34944905220744343,4.2831342256371965,128.7680957211332,0.12980857146120667,0.8267335612763479,0.8882634797825041,0.8032377979792406,51796.0,25480.0,0.28746230646733456,0.20019262812385574,126.0,4.62480354309082,0.0,136.79544113576412,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed7__N1024__T120000__b4_p500_s0.05_ginf__445e16d1eb41,opes_wca,representative,opes,opes,7.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.09822058816037865,0.9426531057819083,0.3425442694399277,4.2795044693115285,125.59792960018552,0.11726563887277086,0.7479549266027671,0.8989159943288663,0.8220972209704199,53884.0,26523.0,0.2927348425360109,0.20015577117656802,126.0,4.6133503913879395,0.0,142.13287634868175,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed8__N1024__T120000__b4_p500_s0.05_ginf__31d476cc34dd,opes_wca,representative,opes,opes,8.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.10844376885878948,0.9754846214937217,0.3807999783426246,4.338788137931772,130.99990402960185,0.1298236035914853,0.7884851080386126,0.9776847082899642,0.8011218710676938,49966.0,24545.0,0.26929227056718513,0.2014950282636191,127.0,4.65617036819458,0.0,141.2399170557037,b2_h6_w2_n10_a1.5
representative__opes__b2_h6_w2_n10_a1.5__seed9__N1024__T120000__b4_p500_s0.05_ginf__e774093b12c8,opes_wca,representative,opes,opes,9.0,120000.0,1024.0,122880000.0,2.0,6.0,2.0,10.0,100.0,1.5,12.0,4.0,500.0,0.05,inf,meanforce,0.14188291716970697,1.0696691778382832,0.46313047180788264,4.707743479156293,144.1854846048782,0.16358311735426412,1.0094807661260394,1.0186461564040223,0.8582545910831774,39020.0,19050.0,0.23856263668015007,0.20341257611710814,126.0,4.710357666015625,0.0,136.94989263825119,b2_h6_w2_n10_a1.5
