rank_within_target,selected,method,target_type,gamma,eta,burnin_fraction,fr_every,median_integrated_l2_F,median_final_l2_F,median_final_l2_Fprime,median_mean_fr_event_fraction,passed_safety,n_seeds
11,False,abf_fr_uniform,uniform,0.1,0.15,0.4,5,15.322116908954342,0.0148267291242522,0.0816140213183254,8.000419256859459e-06,True,5
12,False,abf_fr_uniform,uniform,0.1,0.1,0.0,5,15.32936936337718,0.013162808776272,0.0783927528318842,1.40502521480812e-05,True,5
13,False,abf_fr_uniform,uniform,0.01,0.1,0.4,5,15.386854078372703,0.0133700979436962,0.0699740181384166,1.2500000821091817e-06,True,5
14,False,abf_fr_uniform,uniform,0.1,0.075,0.2,5,15.46174052913783,0.0135663838366574,0.077723494631992,1.2375942958442463e-05,True,5
15,False,abf_fr_uniform,uniform,0.01,0.15,0.4,5,15.490481692416331,0.0122297077593906,0.0748867155024857,7.50000049265509e-07,True,5
16,False,abf_fr_uniform,uniform,0.1,0.1,0.4,5,15.505749494281693,0.0133690186208728,0.0748254314615467,9.58500890343809e-06,True,5
17,False,abf_fr_uniform,uniform,0.02,0.15,0.2,5,15.582608886082024,0.0143471891322607,0.0725703528229264,2.2503142133700747e-06,True,5
18,False,abf_fr_uniform,uniform,0.05,0.075,0.0,5,15.604386907728108,0.0130185748204894,0.0749506453678064,8.600503069828847e-06,True,5
19,False,abf_fr_uniform,uniform,0.02,0.075,0.0,5,15.66534359049766,0.0119994818496955,0.075285254995606,3.6502514922176487e-06,True,5
20,False,abf_fr_uniform,uniform,0.02,0.15,0.4,5,15.707518535490127,0.0160259202875962,0.0766455365914161,2.1666668089892483e-06,True,5
21,False,abf_fr_uniform,uniform,0.01,0.075,0.2,5,15.756214292046971,0.0130859198095202,0.0722383285678289,1.562500102636477e-06,True,5
22,False,abf_fr_uniform,uniform,0.01,0.15,0.0,5,15.758412230885211,0.0149904885622154,0.0721592351332743,1.4002513444211218e-06,True,5
23,False,abf_fr_uniform,uniform,0.01,0.1,0.2,5,15.7791594184053,0.0136843340108792,0.0770579591388132,1.3750000903200998e-06,True,5
