run_id,config_id,method,target_type,seed,gamma,eta,burnin_fraction,fr_every,final_l2_F,final_l2_Fprime,integrated_l2_F,integrated_l2_Fprime,final_marginal_l2_uniform,final_marginal_l2_target,barrier_crossings,n_unique_ancestors,mean_fr_event_fraction,max_fr_event_fraction,any_nan,frac_left,frac_barrier,frac_right,runtime_seconds,total_barrier_crossings
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,1,0.01,0.075,0.4,5,0.0115066035427653,0.0607963511359003,14.167846794063772,36.454498671687865,0.0261627775225142,0.0261653568676867,505884,981,1.5841709531135469e-06,0.0010000000474974,False,0.322,0.174,0.339,12.771421313285828,505884
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,2,0.01,0.075,0.4,5,0.0123297450877755,0.0631616386434198,13.59471754473496,37.97112300832515,0.0412752158270988,0.0412804742183866,532166,987,1.0833334044946242e-06,0.0010000000474974,False,0.309,0.178,0.349,12.771421313285828,532166
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,3,0.01,0.075,0.4,5,0.0119151847522327,0.071431721245796,15.24662204164353,38.93514390445256,0.03124141588341,0.0312392566041559,495267,989,9.170854885572528e-07,0.0010000000474974,False,0.32,0.179,0.336,12.771421313285828,495267
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,4,0.01,0.075,0.4,5,0.0147026294603446,0.0672525303029562,15.925762293986152,41.4998550262589,0.0334520897188777,0.0334541136433353,539640,987,1.0833334044946242e-06,0.0010000000474974,False,0.333,0.186,0.323,12.771421313285828,539640
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,0,0.02,0.075,0.4,5,0.0125686845605112,0.0618434808493128,16.576662593729882,39.3696830574418,0.0313889309367034,0.0313932902830456,512125,975,2.083333470181969e-06,0.0010000000474974,False,0.353,0.174,0.306,12.771421313285828,512125
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,1,0.02,0.075,0.4,5,0.0114040716496297,0.0681926806404789,13.925107512834655,36.09974649119595,0.0344702527305568,0.0344707666325419,486351,972,2.333752233122747e-06,0.0010000000474974,False,0.357,0.162,0.33,12.771421313285828,486351
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,2,0.02,0.075,0.4,5,0.0144535775189179,0.0846490502057295,15.004838123018654,43.77768020055039,0.0348369143548901,0.0348378716916267,512892,980,1.6666667761455756e-06,0.0010000000474974,False,0.358,0.157,0.327,12.771421313285828,512892
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,3,0.02,0.075,0.4,5,0.0129854732750663,0.0744156408842431,14.656029184507666,40.7248471920171,0.0317756811334591,0.031778666400393,513589,965,3.166666867097471e-06,0.0010000000474974,False,0.336,0.168,0.313,12.771421313285828,513589
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,4,0.02,0.075,0.4,5,0.0149568717590026,0.0689206711604792,15.582047604576871,41.014259522894974,0.032404317696104,0.0324046007698505,523063,974,2.2500001402174047e-06,0.0010000000474974,False,0.333,0.172,0.34,12.771421313285828,523063
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.4|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,0,0.05,0.075,0.4,5,0.0131020229174504,0.067466959934635,14.828638917420564,38.07192222291106,0.0338392943726664,0.0338371835279593,486345,940,5.417085768992062e-06,0.0010000000474974,False,0.346,0.159,0.324,12.771421313285828,486345
