config_id,method,target_type,gamma,eta,burnin_fraction,fr_every,n_seeds,median_final_l2_F,iqr_final_l2_F,median_final_l2_Fprime,iqr_final_l2_Fprime,median_integrated_l2_F,iqr_integrated_l2_F,median_integrated_l2_Fprime,iqr_integrated_l2_Fprime,median_final_marginal_l2_uniform,iqr_final_marginal_l2_uniform,median_final_marginal_l2_target,iqr_final_marginal_l2_target,median_mean_fr_event_fraction,iqr_mean_fr_event_fraction,median_max_fr_event_fraction,iqr_max_fr_event_fraction,median_barrier_crossings,iqr_barrier_crossings,median_frac_left,iqr_frac_left,median_frac_barrier,iqr_frac_barrier,median_frac_right,iqr_frac_right,frac_nan
abf_fr_estimated|tt=estimated|g=0.05|eta=0.15|bi=0.4|fe=5,abf_fr_estimated,estimated,0.05,0.15,0.4,5,5,0.0145047824280686,0.002331894522976401,0.0729977352470154,0.007132445778569307,14.58694283671768,1.005198804496061,42.478675879841134,6.808710903279149,0.0215155016317423,0.0033803663403595974,0.0215210112720512,0.0033836851115990017,4.417085695725594e-06,1.6708542413349845e-07,0.0010000000474974,0.0,527459.0,19120.0,0.333,0.02100000000000002,0.178,0.012999999999999984,0.332,0.016000000000000014,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.15|bi=0|fe=5,abf_fr_estimated,estimated,0.05,0.15,0.0,5,5,0.0134133792355628,0.002117261164467501,0.0774370924201394,0.012577568693335997,14.961284405510424,0.3806127357199589,38.54142970665546,3.60167908541181,0.0201173016735563,0.0037455982285035973,0.0201157065115357,0.003740511402217997,6.750251650373684e-06,3.494974862405796e-07,0.0010000000474974,0.0,494120.0,29994.0,0.345,0.01899999999999996,0.171,0.022999999999999993,0.338,0.012999999999999956,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.1|bi=0.2|fe=5,abf_fr_estimated,estimated,0.05,0.1,0.2,5,5,0.0130510228265759,0.0012504382618174006,0.0730685376046661,0.0030839788784571,15.56935394990979,0.789521943021656,41.32304844230966,4.167800706045,0.0265958640951008,0.0031561232546895995,0.0265945248443853,0.003156964188055899,6.313128540114121e-06,4.996859615857833e-07,0.0010000000474974,0.0,482240.0,41602.0,0.347,0.011999999999999955,0.17,0.00899999999999998,0.322,0.006000000000000005,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.1|bi=0.4|fe=5,abf_fr_estimated,estimated,0.05,0.1,0.4,5,5,0.0126862356866446,0.002392740594034099,0.0756368439123519,0.0019574562418061964,15.567865195269794,1.0479679273181084,42.83193875675409,1.1819100801733384,0.0248846371367402,0.0046954366739217004,0.0248849272931904,0.0046960429913873,4.5837523581819065e-06,9.170854506616416e-07,0.0010000000474974,0.0,509177.0,31830.0,0.323,0.030000000000000027,0.171,0.015999999999999986,0.328,0.01100000000000001,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.1|bi=0|fe=5,abf_fr_estimated,estimated,0.05,0.1,0.0,5,5,0.0135610255711321,0.0013602897390694,0.0773558706852271,0.010228217235641102,14.64769277958001,2.1095998107283407,37.80089842369888,6.10988367304391,0.0259462126661355,0.003210359243168301,0.025951253847194,0.0032034856149897005,7.35025166250125e-06,4.002513333034586e-07,0.0020000000949949,0.0010000000474975,508963.0,51509.0,0.336,0.0030000000000000027,0.166,0.013999999999999985,0.33,0.022999999999999965,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0.1,0.075,0.2,5,5,0.0149796791372924,0.002571301976983402,0.0868735216006744,0.006363004474598907,16.334888158062462,1.1807059708914025,41.845950892441074,2.97967990455372,0.0355176813035989,0.012052153927976397,0.0355200560856258,0.012050091844280898,1.26262570745439e-05,8.137563156651595e-07,0.0020000000949949,0.0010000000474975,482284.0,18488.0,0.335,0.016000000000000014,0.166,0.009999999999999981,0.326,0.0030000000000000027,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,0.1,0.075,0.4,5,5,0.0152258387207829,0.0049112390538048,0.0858558336000516,0.026231581137183588,16.576898252014995,1.324496595247668,43.49688632209017,4.131995397055832,0.0276949921550259,0.0046225510192969,0.0276940113506358,0.004624337503521703,1.1833752826836038e-05,8.333334714431356e-07,0.0010000000474974,0.0,479878.0,6529.0,0.333,0.025999999999999968,0.177,0.024999999999999994,0.32,0.009000000000000008,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,0.1,0.075,0.0,5,5,0.0126394139727194,0.004885589658571499,0.0771296723289129,0.017287800367451492,14.081111206279628,2.144161230603439,37.14598932956522,8.322315225749215,0.0286070834229509,0.0005547645490929995,0.0286067660171396,0.0005497535083714006,1.5800503492755526e-05,6.502513133455058e-07,0.0020000000949949,0.0,465009.0,30436.0,0.326,0.014000000000000012,0.157,0.016999999999999987,0.329,0.0040000000000000036,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.15|bi=0.2|fe=5,abf_fr_estimated,estimated,0.1,0.15,0.2,5,5,0.0139931543977965,0.0005164741824808996,0.0819630401392977,0.0014346956120471072,15.361538634490143,0.438157037463073,41.09021088329705,1.0603229076966514,0.0192359981527364,0.003160618046954198,0.0192333229058725,0.003158513123130799,1.0062814612865623e-05,4.371859347429553e-07,0.0020000000949949,0.0,486825.0,2202.0,0.326,0.009000000000000008,0.163,0.0010000000000000009,0.332,0.0050000000000000044,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.15|bi=0.4|fe=5,abf_fr_estimated,estimated,0.1,0.15,0.4,5,5,0.0135293172463779,0.001120831328611101,0.0737321271326297,0.0006133209374565018,14.837200126865866,0.33658353048802603,38.70060671204947,1.06959381157521,0.0224021688295125,0.0011281331268059996,0.0223972355363851,0.001130162021238501,8.16834220434733e-06,2.4999999368446744e-07,0.0020000000949949,0.0010000000474975,489572.0,12423.0,0.348,0.008000000000000007,0.152,0.017000000000000015,0.33,0.02200000000000002,0.0
