step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,hold_max,n_clones,cooldown_until,row,seed
15000,A4a,0.1569894766160216,32,False,0.1763126318436502,0.0,0,0.0,False,,1.697475874819625,,,,7,5207
15000,A4a,0.1019405636918488,32,True,0.22724215868907655,0.0,14,28.0,False,,2.563745716089466,576.0,14.0,15576.0,8,5208
15000,A4a,0.0,31,True,0.20040743796643212,0.0,14,28.0,False,,2.3326700181538884,576.0,14.0,15576.0,9,5209
15000,A4a,0.19419864928159694,32,False,0.12100219541943003,0.0,0,0.0,False,,0.9890929383116883,,,,10,5210
15000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.4631534236372947,,,,11,5211
15000,A4a,0.0883141921577064,32,False,0.0,0.0,0,0.0,True,,,,,,12,5212
15000,A4a,0.0,31,True,0.17234672103833298,0.0,12,24.0,False,,2.176712982358143,504.0,12.0,15504.0,13,5213
15000,A4a,0.16473247277274794,32,True,0.18122256524140137,0.0,18,38.0,False,,2.1869735299422794,648.0,18.0,15648.0,14,5214
15000,A4a,0.0,29,False,0.0,0.0,0,0.0,True,,,,,,15,5215
15500,A4a,0.0,29,False,0.0,0.0,0,0.0,False,,2.055463502015226,,,,0,5200
15500,A4a,0.15475523647991943,32,False,0.21527447915235376,0.0,0,0.0,False,,1.7780821608946609,,,,1,5201
15500,A4a,0.0,31,False,0.3596792719302081,0.0,0,0.0,False,,1.750352604384863,,,,2,5202
15500,A4a,0.0,31,False,0.15570216752891847,0.0,0,0.0,False,,1.868921938276777,,,,3,5203
15500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,4,5204
15500,A4a,0.0,31,False,0.1196311357818182,0.0,0,0.0,False,,1.3197563189498671,,,,5,5205
15500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,6,5206
15500,A4a,0.0,31,False,0.15847383597609996,0.0,0,0.0,False,,1.8388085928408509,,,,7,5207
15500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,8,5208
15500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,9,5209
15500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,1.5745938649164457,,,,10,5210
15500,A4a,0.0,31,True,0.228894086669281,0.0,26,56.0,False,,2.8910720104268495,632.0,26.0,16132.0,11,5211
15500,A4a,0.09953475217423512,32,False,0.1253061836810081,0.0,0,0.0,False,,1.218827786796537,,,,12,5212
15500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,13,5213
15500,A4a,0.1440311621361813,32,False,0.0,0.0,0,0.0,True,,,,,,14,5214
15500,A4a,0.0,31,True,0.20042850567349504,0.0,19,38.0,False,,2.2655692873434807,520.0,19.0,16020.0,15,5215
16000,A4a,0.0,31,True,0.20300301719763233,0.0,22,46.0,False,,2.2892484755387983,622.0,22.0,16622.0,0,5200
16000,A4a,0.0,31,True,0.30521937735675486,0.0,18,52.0,False,,2.140895126378997,678.0,18.0,16678.0,1,5201
16000,A4a,0.10898949295727002,32,True,0.23665385907034572,0.0,16,38.0,False,,2.8227227633477634,678.0,16.0,16678.0,2,5202
16000,A4a,0.13154465916916086,32,True,0.20798051398524553,0.0,18,36.0,False,,2.9380163239538244,520.0,18.0,16520.0,3,5203
16000,A4a,0.0,30,True,0.19610340590532604,0.0,12,24.0,False,,2.2543843193843194,520.0,12.0,16520.0,4,5204
16000,A4a,0.0,31,False,0.16273872552764965,0.0,0,0.0,False,,1.7323243960340737,,,,5,5205
16000,A4a,0.21149621826027984,32,True,0.32402676149142706,0.0,18,50.0,False,,2.174496076839827,678.0,18.0,16678.0,6,5206
16000,A4a,0.13879622232937505,32,True,0.27929657145990117,0.0,17,46.0,False,,2.5485445977633474,678.0,17.0,16678.0,7,5207
16000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,1.0678268863752733,,,,8,5208
16000,A4a,0.0,31,True,0.19465858109972164,0.0,17,34.0,False,,2.387336498626821,576.0,17.0,16576.0,9,5209
16000,A4a,0.0,31,False,0.2304606609631138,0.0,0,0.0,False,,1.9002618349392548,,,,10,5210
16000,A4a,0.10059401670235611,32,False,0.0,0.0,0,0.0,True,,,,,,11,5211
16000,A4a,0.10039474852533838,32,False,0.2777331430097545,0.0,0,0.0,False,,1.5455954635642137,,,,12,5212
16000,A4a,0.0,31,True,0.18088197294227817,0.0,12,24.0,False,,2.3830447330447324,576.0,12.0,16576.0,13,5213
16000,A4a,0.0,30,False,0.24118404751153238,0.0,0,0.0,False,,1.8364033189033189,,,,14,5214
16000,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,15,5215
16500,A4a,0.0,29,False,0.0,0.0,0,0.0,True,,,,,,0,5200
16500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,1,5201
16500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,2,5202
16500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,3,5203
16500,A4a,0.1677396554467992,32,False,0.0,0.0,0,0.0,True,,,,,,4,5204
16500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,3.1896208630079603,,,,5,5205
16500,A4a,0.24075557430718642,32,False,0.0,0.0,0,0.0,True,,,,,,6,5206
16500,A4a,0.14926030729487574,32,False,0.0,0.0,0,0.0,True,,,,,,7,5207
16500,A4a,0.14190152900457914,32,False,0.15961288717543456,0.0,0,0.0,False,,1.9311429022366522,,,,8,5208
16500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,9,5209
16500,A4a,0.09126735540376484,32,False,0.2157378527497992,0.0,0,0.0,False,,1.9511904761904764,,,,10,5210
16500,A4a,0.0,31,True,0.20221727634303036,0.0,16,34.0,False,,2.1081750686589396,622.0,16.0,17122.0,11,5211
16500,A4a,0.07148701151223004,32,False,0.09907891216529643,0.0,0,0.0,False,,1.060333243145743,,,,12,5212
16500,A4a,0.10746342019722117,32,False,0.0,0.0,0,0.0,True,,,,,,13,5213
16500,A4a,0.10705433041997846,32,False,0.16876237678323727,0.0,0,0.0,False,,1.2936338834776335,,,,14,5214
16500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,1.990161988549085,,,,15,5215
17000,A4a,0.0,30,False,0.13018239524003308,0.0,0,0.0,False,,1.305609668109668,,,,0,5200
17000,A4a,0.0,31,False,0.16566132417746351,0.0,0,0.0,False,,1.3849706744868036,,,,1,5201
17000,A4a,0.08220640513976127,32,False,0.17725650641716986,0.0,0,0.0,False,,1.9024993235930736,,,,2,5202
17000,A4a,0.16948305273942466,32,False,0.1710143247735586,0.0,0,0.0,False,,1.9345057720057721,,,,3,5203
17000,A4a,0.09102467450788602,32,True,0.2200311564092109,0.0,14,32.0,False,,2.2279243326118325,648.0,14.0,17648.0,4,5204
17000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,1.6323424723424724,,,,5,5205
17000,A4a,0.25434981625597186,32,False,0.189723562634244,0.0,0,0.0,False,,1.7337008477633478,,,,6,5206
17000,A4a,0.0,31,False,0.2266218966376263,0.0,0,0.0,False,,1.2709165386584742,,,,7,5207
17000,A4a,0.1137441037489147,32,False,0.16596667367198914,0.0,0,0.0,False,,1.1757620851370851,,,,8,5208
17000,A4a,0.0,31,False,0.19024335228210149,0.0,0,0.0,False,,1.7905669599217988,,,,9,5209
17000,A4a,0.14448921298934558,32,True,0.2560535670544352,0.0,19,42.0,False,,3.0254926497113996,632.0,19.0,17632.0,10,5210
17000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,11,5211
