run_id,study,stage,mode,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,fr_rate,adaptive_support_mode,adaptive_base_fr_rate,l2_f,l2_fp,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,fr_score_std,fr_score_absmax,fr_score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,had_nan,runtime_seconds,wall_seconds,physics_tag
equal_compute__abf__b2_h6_w2_n10_a1.5__seed2__N1024__T120000__607cb97b8fb6,wca_equal_compute,equal_compute,sample,abf,abf,2,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.029452903881144122,0.1648825594831411,83.29345189026182,0.019300781197967874,0.08428543058295229,0.11680152117199853,nan,1.2650100476955983,999638,499532,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,193.46031453832984,193.46385836880654,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed2__N2048__T60000__ed65862b8369,wca_equal_compute,equal_compute,sample,abf,abf,2,60000,2048,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.02716688404612816,0.19111214005486413,27.794791551386126,0.019975424119148884,0.08226908602703335,0.07298220401833233,nan,1.2896083851577895,921816,460350,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,135.30193044804037,135.30470247007906,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed2__N512__T240000__cb19d6be7737,wca_equal_compute,equal_compute,sample,abf,abf,2,240000,512,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.024533048040276548,0.1446094082760807,49.59394819174233,0.01949906861385445,0.06410464163493265,0.11092245296494588,nan,1.3113003761326312,1033945,516832,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,391.6133159790188,391.6181523511186,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed3__N1024__T120000__bb11e5a281c1,wca_equal_compute,equal_compute,sample,abf,abf,3,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.031481955501072564,0.16924000602615566,239.7628588974688,0.018995630972262607,0.0990064114010489,0.09451784281338595,nan,1.2679958983784247,1002661,501056,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,198.08796060085297,198.09176025073975,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed3__N2048__T60000__c7140dea95d1,wca_equal_compute,equal_compute,sample,abf,abf,3,60000,2048,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.021985662072726717,0.18442824860191087,24.389148923748667,0.015635709109901176,0.04982729796004569,0.0899043361762914,nan,1.2840585595244438,909808,454332,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,132.234848825261,132.23773021809757,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed3__N512__T240000__abeed4d2634e,wca_equal_compute,equal_compute,sample,abf,abf,3,240000,512,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.022953237703031235,0.13818781168363065,51.01575465898017,0.014887614958334622,0.04939433996675551,0.0796532656617256,nan,1.286858962930592,1043429,521576,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,403.7692224988714,403.77419976051897,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed4__N1024__T120000__d0f3fa1fc6e6,wca_equal_compute,equal_compute,sample,abf,abf,4,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.022543543529268344,0.15466864990515025,39.061509778660756,0.014464219761181804,0.05268611680259791,0.06307574391958486,nan,1.2988584116434447,1001707,500580,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,194.95162281394005,194.95583391468972,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed4__N2048__T60000__359929a7db14,wca_equal_compute,equal_compute,sample,abf,abf,4,60000,2048,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.026799275015752543,0.18764908050788276,36.30557342447125,0.019043406848562844,0.07310329064403384,0.10481732850352579,nan,1.2857224075189317,926628,462729,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,135.0077062183991,135.0107484292239,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed4__N512__T240000__ac7f48a9df31,wca_equal_compute,equal_compute,sample,abf,abf,4,240000,512,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.02462109431355003,0.13376516832071395,51.78600198111886,0.017027229262983966,0.06344518278859228,0.0649304975964286,nan,1.3015557287307438,1043737,521734,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,378.9515744969249,378.9565016590059,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed5__N1024__T120000__cb5cbed66e14,wca_equal_compute,equal_compute,sample,abf,abf,5,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.025332021717091823,0.16718196494201587,38.134133956657905,0.019411969399634823,0.06153535377179542,0.07945278841256051,nan,1.2845900380505453,1005108,502281,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,192.0325237819925,192.03613520320505,b2_h6_w2_n10_a1.5
