init,seed,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,S6_dI_raw,S6_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Fc_dI_raw,V_Fc_dF_raw,V_Tc_dI_raw,V_Tc_dF_raw,V_Pc_dI_raw,V_Pc_dF_raw,S7_dI_raw,S7_dF_raw,PRIMARY_dI_0.0175,PRIMARY_dF_0.0175,S1_dI_0.0175,S1_dF_0.0175,S2_dI_0.0175,S2_dF_0.0175,S3_dI_0.0175,S3_dF_0.0175,S4_dI_0.0175,S4_dF_0.0175,S5_dI_0.0175,S5_dF_0.0175,S6_dI_0.0175,S6_dF_0.0175,V_F0_dI_0.0175,V_F0_dF_0.0175,V_T0_dI_0.0175,V_T0_dF_0.0175,V_Fc_dI_0.0175,V_Fc_dF_0.0175,V_Tc_dI_0.0175,V_Tc_dF_0.0175,V_Pc_dI_0.0175,V_Pc_dF_0.0175,S7_dI_0.0175,S7_dF_0.0175,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,S6_dI_raw,S6_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Fc_dI_raw,V_Fc_dF_raw,V_Tc_dI_raw,V_Tc_dF_raw,V_Pc_dI_raw,V_Pc_dF_raw,S7_dI_raw,S7_dF_raw
one_right,800,-29.608,-8.832,1.521,2.908,-30.663,-11.408,-43.003,-80.528,-62.288,-82.446,-72.585,-5.098,-60.462,7.123,-41.508,-55.033,6.388,1.130,-60.480,-82.749,-59.878,-82.248,-84.374,-81.520,-32.435,-61.636,-30.177,-2.860,-1.092,7.385,-29.406,-9.541,-43.689,-81.274,-64.366,-82.385,-70.705,5.519,-58.502,16.649,-39.397,-51.965,10.339,3.269,-60.248,-83.061,-60.682,-81.810,-83.504,-80.240,-34.405,-64.735,-29.608,-8.832,1.521,2.908,-30.663,-11.408,-43.003,-80.528,-62.288,-82.446,-72.585,-5.098,-60.462,7.123,-41.508,-55.033,6.388,1.130,-60.480,-82.749,-59.878,-82.248,-84.374,-81.520,-32.435,-61.636
one_right,801,-40.205,-4.411,17.414,2.413,-49.074,-6.663,-32.814,-81.585,-57.732,-81.958,-76.895,-8.977,-54.630,-2.479,-43.250,-53.242,-4.955,-2.436,-65.785,-82.812,-59.826,-82.398,-84.477,-83.239,-39.708,-63.241,-40.336,4.173,10.316,4.048,-45.915,0.120,-34.693,-82.391,-60.784,-81.706,-74.758,0.889,-53.330,0.768,-41.666,-50.064,-0.640,0.268,-64.679,-82.370,-61.035,-81.657,-83.516,-82.235,-39.450,-64.696,-40.205,-4.411,17.414,2.413,-49.074,-6.663,-32.814,-81.585,-57.732,-81.958,-76.895,-8.977,-54.630,-2.479,-43.250,-53.242,-4.955,-2.436,-65.785,-82.812,-59.826,-82.398,-84.477,-83.239,-39.708,-63.241
one_right,802,-15.490,-10.621,11.141,3.272,-23.962,-13.453,-53.172,-79.449,-67.630,-82.448,-62.497,-15.250,-50.678,-2.076,-25.138,-73.206,22.257,4.645,-64.393,-82.214,-60.426,-81.632,-82.438,-82.583,-52.436,-33.619,-8.533,-4.650,13.427,-1.638,-19.361,-3.062,-56.061,-80.514,-68.326,-82.717,-59.349,-10.760,-49.589,-7.940,-26.054,-70.675,26.887,7.506,-64.568,-81.111,-59.810,-81.420,-82.138,-82.610,-52.084,-35.586,-15.490,-10.621,11.141,3.272,-23.962,-13.453,-53.172,-79.449,-67.630,-82.448,-62.497,-15.250,-50.678,-2.076,-25.138,-73.206,22.257,4.645,-64.393,-82.214,-60.426,-81.632,-82.438,-82.583,-52.436,-33.619
one_right,803,-34.276,-2.575,-3.664,10.208,-31.776,-11.599,-33.999,-79.766,-62.129,-81.950,-74.104,-4.753,-62.043,7.744,-38.664,-63.216,14.543,9.211,-54.971,-82.113,-56.621,-80.287,-82.909,-80.728,-26.587,-51.373,-32.239,5.884,-0.933,10.949,-31.601,-4.565,-35.368,-81.810,-62.808,-82.725,-73.186,8.960,-60.797,14.172,-39.298,-59.756,17.753,11.497,-55.792,-82.640,-56.205,-80.739,-82.669,-80.180,-27.173,-56.863,-34.276,-2.575,-3.664,10.208,-31.776,-11.599,-33.999,-79.766,-62.129,-81.950,-74.104,-4.753,-62.043,7.744,-38.664,-63.216,14.543,9.211,-54.971,-82.113,-56.621,-80.287,-82.909,-80.728,-26.587,-51.373
one_right,804,-35.175,-8.087,1.723,17.890,-36.273,-22.035,-41.481,-74.493,-68.140,-83.186,-65.822,-4.788,-46.368,22.120,-22.026,-48.207,19.066,39.430,-62.708,-80.114,-62.066,-76.556,-79.999,-75.715,-52.174,-61.605,-30.436,0.271,1.168,7.414,-31.239,-6.650,-44.290,-75.999,-69.602,-83.097,-61.643,0.453,-44.218,7.609,-16.130,-44.712,27.490,42.374,-61.693,-77.596,-61.246,-75.934,-78.632,-75.891,-54.326,-59.477,-35.175,-8.087,1.723,17.890,-36.273,-22.035,-41.481,-74.493,-68.140,-83.186,-65.822,-4.788,-46.368,22.120,-22.026,-48.207,19.066,39.430,-62.708,-80.114,-62.066,-76.556,-79.999,-75.715,-52.174,-61.605
one_right,805,-33.803,-9.822,14.369,7.558,-42.120,-16.158,-35.856,-78.441,-58.900,-80.649,-73.747,-3.160,-54.642,15.503,-43.891,-76.827,3.312,0.464,-62.873,-81.925,-57.539,-80.559,-83.160,-79.123,-33.832,-21.998,-33.435,3.311,3.077,3.044,-35.422,0.259,-36.727,-80.894,-60.764,-80.852,-72.051,15.088,-56.720,14.791,-42.237,-73.628,7.342,3.084,-59.140,-80.844,-57.883,-80.261,-82.316,-78.011,-29.262,-27.363,-33.803,-9.822,14.369,7.558,-42.120,-16.158,-35.856,-78.441,-58.900,-80.649,-73.747,-3.160,-54.642,15.503,-43.891,-76.827,3.312,0.464,-62.873,-81.925,-57.539,-80.559,-83.160,-79.123,-33.832,-21.998
one_right,806,-37.093,-18.363,5.539,6.501,-40.394,-23.346,-35.466,-81.105,-58.167,-82.993,-76.353,-9.415,-60.327,18.173,-44.869,-53.661,-2.954,-9.299,-61.534,-85.516,-59.403,-84.575,-84.739,-82.884,-30.229,-68.744,-36.340,-6.456,6.032,4.624,-39.962,-10.591,-36.050,-82.421,-58.970,-82.280,-75.582,2.438,-59.329,14.571,-46.203,-52.440,-0.778,-7.201,-61.606,-84.282,-59.290,-83.556,-84.385,-81.992,-28.631,-66.953,-37.093,-18.363,5.539,6.501,-40.394,-23.346,-35.466,-81.105,-58.167,-82.993,-76.353,-9.415,-60.327,18.173,-44.869,-53.661,-2.954,-9.299,-61.534,-85.516,-59.403,-84.575,-84.739,-82.884,-30.229,-68.744
one_right,807,-31.476,-24.562,0.855,10.681,-32.057,-31.842,-36.785,-75.059,-64.460,-85.520,-74.239,-27.853,-62.084,5.852,-36.305,-62.646,21.883,29.935,-57.050,-83.001,-56.682,-81.185,-83.715,-82.006,-32.569,-54.491,-30.603,-17.836,3.621,6.696,-33.028,-22.992,-39.022,-76.902,-66.488,-85.687,-72.725,-19.634,-59.273,4.360,-35.333,-61.041,26.275,32.592,-59.162,-82.213,-57.683,-81.022,-83.368,-81.437,-36.848,-54.344,-31.476,-24.562,0.855,10.681,-32.057,-31.842,-36.785,-75.059,-64.460,-85.520,-74.239,-27.853,-62.084,5.852,-36.305,-62.646,21.883,29.935,-57.050,-83.001,-56.682,-81.185,-83.715,-82.006,-32.569,-54.491
one_right,808,-35.462,-16.606,14.586,13.543,-43.678,-26.553,-25.437,-74.321,-58.738,-81.505,-74.896,-13.953,-55.427,17.155,-27.207,-71.542,16.623,15.787,-58.005,-81.139,-51.879,-78.585,-81.282,-77.904,-42.309,-33.725,-33.282,-4.125,14.863,16.711,-41.915,-17.852,-25.358,-75.722,-58.794,-80.593,-73.813,-0.950,-54.915,20.575,-24.251,-67.503,20.855,19.936,-56.644,-80.057,-50.200,-76.724,-80.453,-75.953,-42.764,-38.631,-35.462,-16.606,14.586,13.543,-43.678,-26.553,-25.437,-74.321,-58.738,-81.505,-74.896,-13.953,-55.427,17.155,-27.207,-71.542,16.623,15.787,-58.005,-81.139,-51.879,-78.585,-81.282,-77.904,-42.309,-33.725
one_right,809,-13.663,-10.620,-12.548,33.054,-1.275,-32.824,-52.326,-77.325,-66.348,-80.250,-57.690,-24.175,-57.144,12.875,-28.574,-69.037,22.314,2.617,-52.934,-84.768,-58.839,-79.734,-79.829,-82.807,-34.105,-50.807,-11.894,-1.814,-12.700,23.046,0.923,-20.204,-53.743,-78.914,-67.282,-80.282,-56.695,-17.873,-57.091,2.920,-28.969,-66.372,24.565,5.002,-53.316,-83.174,-59.244,-79.296,-79.968,-82.682,-34.276,-49.964,-13.663,-10.620,-12.548,33.054,-1.275,-32.824,-52.326,-77.325,-66.348,-80.250,-57.690,-24.175,-57.144,12.875,-28.574,-69.037,22.314,2.617,-52.934,-84.768,-58.839,-79.734,-79.829,-82.807,-34.105,-50.807
one_right,810,-32.428,-30.461,-7.231,4.587,-27.161,-33.511,-32.368,-69.739,-57.772,-80.890,-76.131,-28.093,-67.231,8.149,-51.815,-63.352,8.223,10.115,-50.738,-79.879,-54.300,-78.957,-83.857,-78.240,2.235,-45.098,-33.599,-23.323,-12.967,3.600,-23.706,-25.988,-33.960,-70.630,-61.337,-80.399,-74.133,-18.824,-66.096,9.679,-49.793,-59.837,13.419,14.891,-49.615,-78.263,-56.149,-77.480,-82.917,-76.159,0.354,-45.878,-32.428,-30.461,-7.231,4.587,-27.161,-33.511,-32.368,-69.739,-57.772,-80.890,-76.131,-28.093,-67.231,8.149,-51.815,-63.352,8.223,10.115,-50.738,-79.879,-54.300,-78.957,-83.857,-78.240,2.235,-45.098
one_right,811,-29.852,6.477,95.544,29.004,-64.127,-17.463,-31.924,-78.789,-51.742,-78.042,-75.185,5.842,-30.826,28.235,-39.741,-66.392,-1.045,2.851,-75.579,-82.493,-52.246,-77.416,-83.107,-77.550,-59.473,-47.909,-29.155,21.737,105.120,24.008,-65.462,-1.831,-31.380,-80.777,-52.219,-78.017,-75.327,21.766,-28.563,24.038,-41.995,-61.975,1.743,6.449,-76.300,-81.129,-51.387,-76.599,-83.070,-76.593,-59.141,-50.373,-29.852,6.477,95.544,29.004,-64.127,-17.463,-31.924,-78.789,-51.742,-78.042,-75.185,5.842,-30.826,28.235,-39.741,-66.392,-1.045,2.851,-75.579,-82.493,-52.246,-77.416,-83.107,-77.550,-59.473,-47.909
one_right,812,-34.795,-9.270,21.838,18.299,-46.482,-23.304,-29.772,-78.574,-57.961,-80.759,-76.627,-14.206,-56.326,11.863,-39.779,-70.919,8.928,1.034,-62.416,-83.567,-54.208,-80.560,-83.585,-81.618,-37.590,-43.492,-34.817,-6.093,21.974,10.569,-46.560,-15.069,-30.745,-79.131,-59.776,-81.127,-75.564,-6.964,-54.274,9.542,-39.803,-67.546,12.228,3.840,-62.990,-82.276,-54.858,-80.403,-83.077,-80.584,-38.519,-45.386,-34.795,-9.270,21.838,18.299,-46.482,-23.304,-29.772,-78.574,-57.961,-80.759,-76.627,-14.206,-56.326,11.863,-39.779,-70.919,8.928,1.034,-62.416,-83.567,-54.208,-80.560,-83.585,-81.618,-37.590,-43.492
one_right,813,-39.561,5.985,-3.027,26.579,-37.675,-16.270,-28.125,-78.330,-60.207,-82.452,-77.431,-11.811,-63.788,5.325,-39.542,-62.581,9.165,30.881,-55.204,-81.856,-56.560,-77.033,-83.779,-80.889,-25.906,-51.511,-39.420,15.385,-2.133,22.858,-38.099,-6.083,-28.872,-79.291,-62.004,-82.325,-76.101,1.291,-61.391,7.852,-39.622,-60.975,13.405,35.191,-55.971,-80.550,-56.911,-76.105,-83.001,-79.023,-27.078,-50.162,-39.561,5.985,-3.027,26.579,-37.675,-16.270,-28.125,-78.330,-60.207,-82.452,-77.431,-11.811,-63.788,5.325,-39.542,-62.581,9.165,30.881,-55.204,-81.856,-56.560,-77.033,-83.779,-80.889,-25.906,-51.511
one_right,814,-26.380,8.214,-10.059,17.279,-18.147,-7.730,-42.473,-80.187,-63.793,-82.929,-68.558,-1.732,-61.587,6.500,-36.724,-51.641,16.971,25.600,-52.912,-81.718,-57.649,-78.559,-81.912,-80.530,-25.583,-62.195,-25.765,15.463,-17.166,8.148,-10.381,6.763,-44.530,-81.368,-66.584,-83.374,-65.148,13.969,-61.111,6.750,-35.046,-48.557,23.228,29.393,-50.289,-80.108,-58.822,-78.487,-80.668,-78.765,-23.467,-61.331,-26.380,8.214,-10.059,17.279,-18.147,-7.730,-42.473,-80.187,-63.793,-82.929,-68.558,-1.732,-61.587,6.500,-36.724,-51.641,16.971,25.600,-52.912,-81.718,-57.649,-78.559,-81.912,-80.530,-25.583,-62.195
one_right,815,-40.805,-4.110,-7.919,10.405,-35.715,-13.146,-24.734,-77.484,-56.343,-79.189,-77.198,-7.145,-64.529,6.910,-35.080,-52.617,2.053,3.746,-51.615,-80.444,-55.447,-78.409,-82.838,-79.093,-25.470,-58.728,-38.524,8.981,-8.622,13.497,-32.723,-3.979,-26.731,-79.581,-58.378,-79.402,-75.569,4.739,-63.686,9.079,-32.921,-49.028,8.221,8.034,-50.707,-80.393,-54.957,-77.747,-82.100,-78.613,-26.514,-61.534,-40.805,-4.110,-7.919,10.405,-35.715,-13.146,-24.734,-77.484,-56.343,-79.189,-77.198,-7.145,-64.529,6.910,-35.080,-52.617,2.053,3.746,-51.615,-80.444,-55.447,-78.409,-82.838,-79.093,-25.470,-58.728
one_right,816,-31.227,-13.774,-1.580,8.363,-30.124,-20.429,-33.617,-78.216,-61.501,-82.064,-73.806,-13.638,-62.514,8.534,-27.838,-58.922,18.584,4.723,-53.614,-82.666,-54.347,-81.216,-82.612,-81.187,-35.720,-57.803,-23.680,0.149,0.143,18.902,-23.789,-15.772,-37.879,-78.724,-62.085,-80.486,-70.300,-4.704,-61.029,13.141,-25.911,-54.742,25.045,9.190,-52.657,-82.080,-52.590,-78.692,-81.550,-79.725,-36.100,-60.404,-31.227,-13.774,-1.580,8.363,-30.124,-20.429,-33.617,-78.216,-61.501,-82.064,-73.806,-13.638,-62.514,8.534,-27.838,-58.922,18.584,4.723,-53.614,-82.666,-54.347,-81.216,-82.612,-81.187,-35.720,-57.803
one_right,817,-20.864,-4.091,-19.003,29.041,-2.297,-25.676,-44.546,-71.156,-67.438,-81.472,-67.436,-14.132,-66.670,15.532,-32.878,-62.499,34.771,49.308,-45.820,-78.562,-56.116,-72.336,-81.942,-75.233,-19.282,-42.834,-19.456,11.931,-20.922,23.160,1.853,-9.118,-49.702,-74.058,-69.982,-81.121,-65.009,4.652,-65.645,15.151,-35.390,-54.158,34.960,53.799,-48.770,-76.424,-59.488,-70.963,-82.400,-72.852,-20.709,-48.571,-20.864,-4.091,-19.003,29.041,-2.297,-25.676,-44.546,-71.156,-67.438,-81.472,-67.436,-14.132,-66.670,15.532,-32.878,-62.499,34.771,49.308,-45.820,-78.562,-56.116,-72.336,-81.942,-75.233,-19.282,-42.834
one_right,818,-19.522,-5.080,-26.183,25.543,9.024,-24.393,-46.459,-78.721,-67.550,-83.998,-62.212,-14.265,-65.340,13.395,-22.024,-62.345,32.784,26.218,-41.628,-83.912,-56.912,-79.802,-79.768,-81.756,-25.141,-57.274,-15.073,9.583,-25.402,10.710,13.846,-1.018,-50.308,-81.276,-68.890,-84.149,-58.153,8.784,-63.243,9.902,-19.805,-57.717,35.653,29.444,-43.428,-81.466,-57.798,-79.481,-79.206,-79.631,-29.456,-56.167,-19.522,-5.080,-26.183,25.543,9.024,-24.393,-46.459,-78.721,-67.550,-83.998,-62.212,-14.265,-65.340,13.395,-22.024,-62.345,32.784,26.218,-41.628,-83.912,-56.912,-79.802,-79.768,-81.756,-25.141,-57.274
one_right,819,-29.113,-12.232,15.503,6.659,-38.628,-17.712,-35.673,-77.849,-61.774,-83.229,-71.936,-17.231,-54.272,0.585,-36.822,-59.321,19.292,15.918,-60.521,-81.773,-54.400,-80.559,-81.947,-81.666,-37.511,-55.192,-26.934,-8.983,17.004,3.144,-37.553,-11.757,-39.238,-79.096,-63.754,-83.859,-69.488,-7.921,-51.139,4.348,-35.862,-57.784,22.486,17.875,-62.056,-81.554,-55.604,-80.974,-81.460,-80.752,-40.840,-56.305,-29.113,-12.232,15.503,6.659,-38.628,-17.712,-35.673,-77.849,-61.774,-83.229,-71.936,-17.231,-54.272,0.585,-36.822,-59.321,19.292,15.918,-60.521,-81.773,-54.400,-80.559,-81.947,-81.666,-37.511,-55.192
one_right,820,-31.809,-17.710,13.912,14.958,-40.137,-28.418,-33.820,-78.421,-56.916,-79.747,-73.946,-22.505,-56.476,8.260,-35.787,-61.973,4.747,-12.322,-60.383,-84.553,-54.871,-82.242,-82.757,-83.277,-38.303,-59.379,-29.997,-7.151,6.749,6.183,-34.423,-12.557,-37.058,-80.631,-58.673,-79.845,-71.834,-9.620,-57.049,3.359,-32.890,-58.298,6.618,-10.772,-58.724,-83.063,-55.939,-82.016,-82.272,-82.494,-38.495,-59.386,-31.809,-17.710,13.912,14.958,-40.137,-28.418,-33.820,-78.421,-56.916,-79.747,-73.946,-22.505,-56.476,8.260,-35.787,-61.973,4.747,-12.322,-60.383,-84.553,-54.871,-82.242,-82.757,-83.277,-38.303,-59.379
one_right,821,-32.437,-14.952,-16.055,11.463,-19.515,-23.699,-33.960,-71.284,-61.229,-79.018,-71.638,-19.368,-64.761,5.676,-25.314,-26.153,15.083,16.393,-46.847,-78.089,-55.381,-75.578,-81.270,-76.846,-28.832,-70.330,-29.163,-3.701,-15.411,12.591,-16.257,-14.470,-38.463,-74.526,-63.524,-79.389,-68.541,-6.688,-62.434,9.099,-23.127,-23.746,19.505,19.020,-48.467,-78.212,-56.409,-75.469,-80.641,-76.230,-32.964,-71.427,-32.437,-14.952,-16.055,11.463,-19.515,-23.699,-33.960,-71.284,-61.229,-79.018,-71.638,-19.368,-64.761,5.676,-25.314,-26.153,15.083,16.393,-46.847,-78.089,-55.381,-75.578,-81.270,-76.846,-28.832,-70.330
one_right,822,-26.453,-5.289,4.882,22.233,-29.876,-22.516,-37.820,-78.753,-58.606,-82.092,-70.613,1.722,-58.093,31.282,-38.900,-65.837,10.477,12.372,-56.397,-83.537,-54.269,-79.877,-81.727,-78.387,-28.637,-51.811,-26.330,4.391,6.567,11.881,-30.869,-6.694,-37.915,-81.016,-59.823,-82.613,-69.790,11.532,-56.301,19.534,-38.379,-61.552,13.841,13.983,-57.080,-82.286,-54.262,-80.182,-81.244,-78.826,-30.349,-53.929,-26.453,-5.289,4.882,22.233,-29.876,-22.516,-37.820,-78.753,-58.606,-82.092,-70.613,1.722,-58.093,31.282,-38.900,-65.837,10.477,12.372,-56.397,-83.537,-54.269,-79.877,-81.727,-78.387,-28.637,-51.811
one_right,823,-34.078,-3.404,-32.573,5.973,-2.233,-8.848,-40.273,-76.524,-63.049,-83.835,-74.411,-7.049,-73.827,1.974,-41.609,-55.330,6.556,40.290,-41.606,-78.601,-60.627,-77.323,-84.717,-78.178,0.004,-52.095,-33.052,13.096,-34.714,12.629,2.545,0.415,-41.128,-78.740,-65.242,-83.330,-72.031,12.412,-72.725,11.948,-38.979,-51.568,13.394,44.235,-39.629,-78.652,-60.586,-75.956,-83.534,-76.101,-1.065,-55.922,-34.078,-3.404,-32.573,5.973,-2.233,-8.848,-40.273,-76.524,-63.049,-83.835,-74.411,-7.049,-73.827,1.974,-41.609,-55.330,6.556,40.290,-41.606,-78.601,-60.627,-77.323,-84.717,-78.178,0.004,-52.095
one_right,824,-40.036,-15.597,-16.784,5.227,-27.942,-19.789,-35.591,-80.711,-61.063,-85.031,-75.809,-6.621,-66.429,16.417,-54.756,-68.393,-0.809,8.759,-53.588,-84.528,-61.378,-83.720,-84.419,-81.988,2.581,-51.051,-37.624,1.439,-21.432,6.202,-20.609,-4.485,-37.830,-82.783,-63.263,-84.457,-73.056,8.706,-66.061,13.810,-52.485,-64.511,5.558,12.361,-50.642,-83.555,-61.221,-82.535,-83.249,-81.284,3.879,-53.662,-40.036,-15.597,-16.784,5.227,-27.942,-19.789,-35.591,-80.711,-61.063,-85.031,-75.809,-6.621,-66.429,16.417,-54.756,-68.393,-0.809,8.759,-53.588,-84.528,-61.378,-83.720,-84.419,-81.988,2.581,-51.051
one_right,825,-30.583,-5.518,1.208,15.157,-31.411,-17.953,-33.000,-76.380,-59.892,-82.194,-76.316,-14.834,-65.469,3.802,-41.990,-59.822,15.962,25.330,-54.045,-80.621,-53.490,-77.683,-84.131,-79.884,-20.781,-51.766,-26.975,5.801,2.189,13.921,-28.539,-7.127,-35.564,-77.192,-61.747,-81.079,-73.256,1.634,-62.576,9.434,-38.775,-55.827,23.008,27.539,-53.954,-78.817,-52.946,-75.868,-82.768,-76.819,-24.793,-52.046,-30.583,-5.518,1.208,15.157,-31.411,-17.953,-33.000,-76.380,-59.892,-82.194,-76.316,-14.834,-65.469,3.802,-41.990,-59.822,15.962,25.330,-54.045,-80.621,-53.490,-77.683,-84.131,-79.884,-20.781,-51.766
one_right,826,-43.274,-4.334,1.795,18.658,-44.274,-19.377,-27.270,-79.423,-58.669,-82.671,-78.984,-16.994,-62.288,2.956,-43.139,-66.116,-0.178,13.598,-59.470,-83.410,-58.743,-80.315,-84.715,-82.920,-28.721,-51.039,-40.735,14.898,0.047,16.500,-40.763,-1.375,-29.990,-81.939,-60.679,-82.206,-76.433,6.005,-60.216,7.483,-39.688,-63.772,5.520,16.621,-58.528,-82.187,-58.508,-79.248,-83.501,-80.854,-31.238,-50.831,-43.274,-4.334,1.795,18.658,-44.274,-19.377,-27.270,-79.423,-58.669,-82.671,-78.984,-16.994,-62.288,2.956,-43.139,-66.116,-0.178,13.598,-59.470,-83.410,-58.743,-80.315,-84.715,-82.920,-28.721,-51.039
one_right,827,-41.690,-13.691,-22.685,4.025,-24.582,-17.031,-37.696,-76.745,-67.131,-81.471,-74.661,-15.736,-66.403,1.560,-35.509,-55.140,10.526,8.319,-53.012,-80.706,-63.671,-79.929,-84.213,-80.404,-27.140,-56.989,-36.557,-3.076,-25.648,-0.159,-14.671,-2.922,-43.892,-78.656,-69.150,-81.564,-70.048,1.810,-64.898,4.874,-33.613,-51.713,15.389,12.216,-52.123,-79.279,-64.403,-79.312,-83.194,-78.269,-27.883,-57.088,-41.690,-13.691,-22.685,4.025,-24.582,-17.031,-37.696,-76.745,-67.131,-81.471,-74.661,-15.736,-66.403,1.560,-35.509,-55.140,10.526,8.319,-53.012,-80.706,-63.671,-79.929,-84.213,-80.404,-27.140,-56.989
one_right,828,-21.649,-9.993,-7.336,15.741,-15.446,-22.234,-50.135,-77.137,-65.602,-79.537,-69.895,-17.547,-64.396,6.028,-41.193,-64.059,13.580,0.561,-57.837,-82.221,-60.930,-79.422,-84.988,-81.149,-28.303,-50.531,-18.793,-4.586,-5.163,11.136,-14.372,-14.147,-53.379,-77.062,-67.321,-78.534,-67.656,-7.556,-62.228,7.677,-42.653,-57.452,15.851,1.956,-60.080,-80.307,-62.141,-78.114,-84.921,-78.795,-30.388,-53.716,-21.649,-9.993,-7.336,15.741,-15.446,-22.234,-50.135,-77.137,-65.602,-79.537,-69.895,-17.547,-64.396,6.028,-41.193,-64.059,13.580,0.561,-57.837,-82.221,-60.930,-79.422,-84.988,-81.149,-28.303,-50.531
one_right,829,-31.409,2.195,-3.640,6.976,-28.817,-4.469,-39.694,-81.448,-60.743,-81.187,-72.888,-15.013,-61.913,-11.037,-39.828,-53.717,5.369,0.778,-57.073,-82.277,-58.635,-81.040,-83.650,-84.233,-28.659,-61.707,-29.169,5.341,-6.477,1.870,-24.263,3.407,-43.836,-82.970,-63.215,-82.563,-69.870,1.856,-60.217,-1.501,-37.654,-51.242,8.147,2.881,-57.464,-82.390,-60.219,-82.061,-83.078,-82.654,-31.773,-63.883,-31.409,2.195,-3.640,6.976,-28.817,-4.469,-39.694,-81.448,-60.743,-81.187,-72.888,-15.013,-61.913,-11.037,-39.828,-53.717,5.369,0.778,-57.073,-82.277,-58.635,-81.040,-83.650,-84.233,-28.659,-61.707
one_right,830,-14.163,9.431,-30.021,13.036,22.660,-3.189,-46.867,-78.670,-64.455,-79.171,-59.645,6.354,-67.100,9.858,-22.614,-51.087,28.308,12.062,-34.827,-79.350,-54.392,-76.658,-78.558,-77.315,-15.782,-57.782,-11.806,14.706,-31.404,9.824,28.570,4.445,-47.063,-79.453,-65.499,-79.374,-56.930,17.067,-66.501,12.084,-16.259,-48.196,35.322,14.270,-31.939,-78.539,-53.313,-76.431,-77.200,-75.946,-18.724,-58.573,-14.163,9.431,-30.021,13.036,22.660,-3.189,-46.867,-78.670,-64.455,-79.171,-59.645,6.354,-67.100,9.858,-22.614,-51.087,28.308,12.062,-34.827,-79.350,-54.392,-76.658,-78.558,-77.315,-15.782,-57.782
one_right,831,-32.596,-19.612,17.720,3.968,-42.742,-22.680,-45.256,-74.368,-61.845,-82.994,-71.416,-15.472,-50.078,9.322,-51.058,-63.257,-3.291,21.161,-68.655,-80.182,-63.100,-79.395,-84.352,-78.334,-35.954,-46.063,-30.748,-4.594,18.840,2.608,-41.727,-7.019,-46.737,-76.163,-63.327,-81.897,-69.181,-3.997,-47.112,3.251,-50.478,-62.004,0.579,25.624,-68.962,-77.836,-63.114,-77.258,-83.585,-77.116,-37.324,-41.668,-32.596,-19.612,17.720,3.968,-42.742,-22.680,-45.256,-74.368,-61.845,-82.994,-71.416,-15.472,-50.078,9.322,-51.058,-63.257,-3.291,21.161,-68.655,-80.182,-63.100,-79.395,-84.352,-78.334,-35.954,-46.063
