cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
butane_b1_s2.3_full_trans,fr_r005,final_l2_Fp,3,0.2840710793858248,0.28545813340423803,0.001387054018413214,-7.536955841042081e-05,0.0014189577884221594,0.004882770964971481,-0.0002682140231258542,0.004965836651880112,0.3333333333333333
butane_b1_s2.3_full_trans,fr_r010,final_l2_Fp,3,0.2840710793858248,0.2878722576300763,0.0035353407305835916,0.00212830592660479,0.0041087604964955005,0.012581047049619137,0.0074482973792334975,0.014463846532279301,0.0
butane_b1_s2.3_full_trans,fr_r020,final_l2_Fp,3,0.2840710793858248,0.28814972323463783,0.004078643848813013,0.003997797954566118,0.004263876437700709,0.014357828532320977,0.01422677133385241,0.014922018164449243,0.0
butane_b1_s2.3_full_trans,fr_r040,final_l2_Fp,3,0.2840710793858248,0.28989054786763835,0.006963599231558537,0.005819468481813528,0.007015446594713037,0.024370066942956528,0.020485958987431933,0.024965532436135345,0.0
butane_b1_s2.3_full_trans,opes_b12_s30,final_l2_Fp,3,0.2840710793858248,0.48752313269978853,0.2034520533139637,0.19844035316617226,0.2067119232267619,0.7162012189126634,0.7061801421654003,0.7234166182501583,0.0
butane_b1_s2.3_full_trans,opes_b4_s15,final_l2_Fp,3,0.2840710793858248,0.3691435151220109,0.08473943341593831,0.08026902895617466,0.08813822862714665,0.29655722513376587,0.28256670524053384,0.31365327580325614,0.0
butane_b1_s2.3_full_trans,opes_b8_s15,final_l2_Fp,3,0.2840710793858248,0.3897534091874335,0.10568232980160869,0.1004176667681107,0.1099860715336331,0.3720277686489554,0.351425344856707,0.3914021437302862,0.0
butane_b1_s2.3_full_trans,opes_b8_s30,final_l2_Fp,3,0.2840710793858248,0.47288989125071434,0.19188460475585012,0.1804629777009339,0.19801683537141254,0.6828505155519808,0.6352740239911202,0.6929869702960604,0.0
pentane_b1_s2.3_full_trans,fr_r002,final_l2_Fp,3,0.3072717376787021,0.3055783338270941,0.0003338842649106555,-0.0016934038516079886,0.0040365529502503494,0.0010612667049859914,-0.005511095372457235,0.01343721603325189,0.3333333333333333
pentane_b1_s2.3_full_trans,fr_r005,final_l2_Fp,3,0.3072717376787021,0.3102776499154867,0.0030059122367845914,0.0029375494436344463,0.003282963738404754,0.009782586122280194,0.009337137884031711,0.01092860505633673,0.0
pentane_b1_s2.3_full_trans,fr_r010,final_l2_Fp,3,0.3072717376787021,0.3149116228013306,0.007639885122628531,0.006304624892112698,0.012496808115723568,0.024863611539233582,0.02098736415155449,0.039721687319901285,0.0
pentane_b1_s2.3_full_trans,fr_r020,final_l2_Fp,3,0.3072717376787021,0.3268633034229948,0.019591565744292716,0.013573334436616291,0.02474436190365098,0.06375973883019007,0.045184054158159535,0.07865110813621484,0.0
pentane_b1_s2.3_full_trans,fr_r040,final_l2_Fp,3,0.3072717376787021,0.3342281238242733,0.025659338697249234,0.020220842034971098,0.02695638614557122,0.08155940453988186,0.06731283502209866,0.0877281664406054,0.0
pentane_b1_s2.3_full_trans,opes_b12_s30,final_l2_Fp,3,0.3072717376787021,0.6424979152237285,0.33208269222717895,0.32705370880888507,0.3352261775450264,1.0887238180459602,1.055540322204528,1.0909762807263281,0.0
pentane_b1_s2.3_full_trans,opes_b4_s15,final_l2_Fp,3,0.3072717376787021,0.4608750327317704,0.15852811711316034,0.1462658366248759,0.16665197847341273,0.5277216930505213,0.4649127820636855,0.5423602565351192,0.0
pentane_b1_s2.3_full_trans,opes_b8_s15,final_l2_Fp,3,0.3072717376787021,0.4574523473278131,0.15123484025516815,0.14284315122091862,0.16834784854980392,0.503443221310152,0.45403361690795885,0.5478793781087555,0.0
pentane_b1_s2.3_full_trans,opes_b8_s30,final_l2_Fp,3,0.3072717376787021,0.6219249057254677,0.3146531680467656,0.3098801241983046,0.3161569053656152,1.024022483889429,1.0049194660482679,1.0315549491318565,0.0
