cell,seed,j,C,a,V,pi_star,occ0,f_ref
K3,8007,3,64460.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.0234375,-12.112613681448535
K3,8007,4,81228.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.02734375,-10.612314324874749
K3,8007,5,94362.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.0546875,-9.37970088141536
K3,8007,6,110325.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.03515625,-8.130169058873427
K3,8007,7,120845.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.07421875,-6.598728030372591
K3,8007,8,123605.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.0546875,-4.620588418274956
K3,8007,9,124632.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.0390625,-2.252863240698835
K3,8007,10,123566.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.03125,0.22605911217101549
K3,8007,11,113990.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.046875,2.355230571581429
K3,8007,12,88386.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.01953125,3.6060840625782453
K3,8007,13,53879.0,0.0006483694517539563,3.081559448889604,0.1264860774978664,0.015625,3.275144141174126
K3,8007,14,46353.0,0.0007190962031104933,11.419147589547167,0.3620592102192296,0.01953125,0.6855115062732063
K3,8007,15,48888.0,0.0006716400359167596,0.18262001103462636,0.00390625,0.01953125,-0.08397731392047976
K3,8007,16,50155.0,0.0007277206082059181,0.23035181068127758,0.00390625,0.015625,0.27399170958044256
K3,8007,17,44158.0,0.0006642914303916642,6.234667423308631,0.23824961125482366,0.00390625,-0.3699228766684197
K3,8007,18,46141.0,0.0007031742244727865,3.514616106962375,0.1638301010280803,0.01953125,-2.9743058338938515
K3,8007,19,78923.0,0.0006263236351786695,0.5224564293374221,0.00390625,0.04296875,-3.436226280277556
K3,8007,20,127060.0,0.0006454570519110974,0.1504324590547868,0.00390625,0.03125,-2.215293491858746
K3,8007,21,149771.0,0.0005577366502777776,0.1530259837466068,0.00390625,0.05859375,-0.11939669396034924
K3,8007,22,156232.0,0.0005545690905208532,0.18139840619180772,0.00390625,0.08984375,2.3566676671297633
K3,8007,23,144109.0,0.00045853047568898827,0.13153137069603446,0.00390625,0.08203125,4.739356923226084
K3,8007,24,117585.0,0.0004305103403020531,0.12155850026463985,0.00390625,0.046875,6.729879356794805
K3,8007,25,87736.0,0.0003287051114123004,0.196608374066459,0.00390625,0.0234375,8.282174936728236
K3,8007,26,62902.0,0.0002732808012546973,0.37625079209053536,0.00390625,0.0390625,9.536218308969232
K3,8007,27,42905.0,0.00016826055744771585,0.6110501768355009,0.00390625,0.015625,10.762180863513906
K3,8007,28,32528.0,8.288047337878629e-05,0.7279462886916624,0.00390625,0.00390625,12.251816073352863
K3,8007,29,29603.0,3.615601467227656e-06,0.6480335458035834,0.00390625,0.00390625,14.228240678469687
K3,8007,30,28437.0,0.0,0.527435034298937,0.00390625,0.0,16.82835293200227
K3,8007,31,28024.0,0.0,0.5145073422937076,0.00390625,0.0,20.20578082012556
