cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
butane_b1_s2.3_full_dispersed,fr_uniform,integrated_l2_F,16,7.462953728788598,7.461539346534789,0.000266443416446549,-0.002599066940103918,0.013978490325797753,3.322141789933586e-05,-0.00034553918239228916,0.0018577513057798554,0.5
butane_b1_s2.3_full_dispersed,opes,integrated_l2_F,16,7.462953728788598,8.389972815295078,0.8966297308028648,0.8422694859280679,0.9682764348528519,0.11982643803042894,0.1121156472291742,0.12953177760342893,0.0
butane_b1_s2.3_full_trans,fr_estimated,integrated_l2_F,16,7.732269149336798,7.734631513973367,0.005003020035547312,0.0034006463090522467,0.013067839692178541,0.0006453710652258428,0.0004411294297156216,0.0017106875123592262,0.125
butane_b1_s2.3_full_trans,fr_oracle,integrated_l2_F,16,7.732269149336798,7.73402097834377,-0.002167487299320481,-0.004163945546293772,0.003390817715850956,-0.0002797648295750066,-0.0005367771715886198,0.00046738347169886663,0.6875
butane_b1_s2.3_full_trans,fr_uniform,integrated_l2_F,16,7.732269149336798,7.751472958032293,0.00744883013191977,0.0037736442874295563,0.013981070350503094,0.0009743223267766755,0.00047991023309641023,0.0018286386419281563,0.125
butane_b1_s2.3_full_trans,opes,integrated_l2_F,16,7.732269149336798,9.674450406752328,1.9498013448816511,1.9037020525816857,2.0429128389190794,0.25065508614121046,0.24569232264326,0.2655774470111211,0.0
butane_b2_s2.3_full_trans,fr_estimated,integrated_l2_F,12,6.346272983285722,6.346036960086755,0.008193515537962437,0.002421085038757087,0.010889787236133527,0.0012846851292765322,0.00038742837084812537,0.0017168579925542302,0.25
butane_b2_s2.3_full_trans,fr_oracle,integrated_l2_F,12,6.346272983285722,6.349532109432512,0.0013981872183701505,-0.004653261571860938,0.0034581522512536237,0.00021909772566637456,-0.0007293731014408198,0.0005390560773967439,0.4166666666666667
butane_b2_s2.3_full_trans,fr_uniform,integrated_l2_F,12,6.346272983285722,6.343310588379751,0.0061401624893795415,0.001805978924720068,0.01368459979953919,0.0009736925412872376,0.00028442885810314457,0.002192092347135894,0.16666666666666666
butane_b2_s2.3_full_trans,opes,integrated_l2_F,12,6.346272983285722,8.64537729405288,2.3256498394738676,2.2213804896520886,2.4432942289419337,0.36805345819544144,0.3496340289083241,0.38813617899859526,0.0
pentane_b1_s2.3_full_dispersed,fr_active,integrated_l2_F,16,7.438306955306553,7.720191979169224,0.26097457383193134,0.22293295396713067,0.30657685326765893,0.034176431704177626,0.029865981708509983,0.0413603207540392,0.0
