system,cell,method,seed,stage,n_replicas,n_steps,dt,t_phys,l2_f,int_l2_f,n_cross,n_roundtrips,p_a,p_b,cv_coverage,low_support_fraction,support_min_over_median,f_range,spectral_gap_matrix,n_states_visited_frac,fpt_frac,sweep,orphan,cross_per_replica,log10_cross_per_replica,cross_rate_per_time,roundtrips_per_replica,roundtrip_rate_per_time,n_relax,log10_n_relax,min_state_occupancy
eb,om25_b8_g15,abf,2,stage1_seeds,256.0,40000.0,0.001,40.0,0.17762415275527954,8.71893165334642,nan,nan,0.4754042951988535,0.5245957048011466,1.0,0.0728476821192053,0.03378626548051283,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4754042951988535
eb,om25_b8_g15,abf,3,stage1_seeds,256.0,40000.0,0.001,40.0,0.16413058481955198,9.340939907251759,nan,nan,0.46808114882767626,0.5319188511723238,1.0,0.046357615894039736,0.07078258642817892,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.46808114882767626
eb,om25_b8_g15,abf,4,stage1_seeds,256.0,40000.0,0.001,40.0,0.2120183748870205,10.710292324708409,nan,nan,0.4847238091380958,0.5152761908619041,1.0,0.08609271523178808,0.022787464141541997,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4847238091380958
eb,om25_b8_g15,abf,5,stage1_seeds,256.0,40000.0,0.001,40.0,0.21514229743507426,10.520045323296358,nan,nan,0.5274466086123379,0.4725533913876621,1.0,0.09271523178807947,0.012836691445934576,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4725533913876621
eb,om25_b8_g15,abf,6,stage1_seeds,256.0,40000.0,0.001,40.0,0.1943731892202666,9.927544867795579,nan,nan,0.49945602416434537,0.5005439758356547,1.0,0.08609271523178808,0.023180649523572603,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.49945602416434537
eb,om25_b8_g15,abf,7,stage1_seeds,256.0,40000.0,0.001,40.0,0.20329968219753317,10.374442038318831,nan,nan,0.5369444931202506,0.4630555068797494,1.0,0.06622516556291391,0.06273519869156886,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4630555068797494
eb,om25_b8_g15,abf,8,stage1_seeds,256.0,40000.0,0.001,40.0,0.17942025093641983,8.870870898579076,nan,nan,0.4682249851360834,0.5317750148639167,1.0,0.059602649006622516,0.018885751364887186,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4682249851360834
eb,om25_b8_g15,abf,9,stage1_seeds,256.0,40000.0,0.001,40.0,0.20907818652399418,11.021116425432176,nan,nan,0.54262777712547,0.45737222287453,1.0,0.0728476821192053,0.04298850254169022,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.45737222287453
eb,om25_b8_g15,fr,0,stage1_seeds,256.0,40000.0,0.001,40.0,0.1001300266379549,6.335631693539544,nan,nan,0.4664445309103747,0.5335554690896253,1.0,0.039735099337748346,0.0685418168503366,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4664445309103747
eb,om25_b8_g15,fr,1,stage1_seeds,256.0,40000.0,0.001,40.0,0.08941603195907033,6.007376558193064,nan,nan,0.49043099840570603,0.5095690015942941,1.0,0.019867549668874173,0.12191632835285517,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.49043099840570603
eb,om25_b8_g15,fr,10,stage1_seeds,256.0,40000.0,0.001,40.0,0.09628926116353881,6.335830093294216,nan,nan,0.46997826114444474,0.5300217388555553,1.0,0.013245033112582781,0.1441132720876638,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.46997826114444474
eb,om25_b8_g15,fr,11,stage1_seeds,256.0,40000.0,0.001,40.0,0.10364995298740698,6.531740837945912,nan,nan,0.47902217519725937,0.5209778248027406,1.0,0.006622516556291391,0.19663202526904178,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.47902217519725937
eb,om25_b8_g15,fr,12,stage1_seeds,256.0,40000.0,0.001,40.0,0.10053548122932636,6.583056820380913,nan,nan,0.4922644358385457,0.5077355641614544,1.0,0.026490066225165563,0.08127258801925365,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4922644358385457
