kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_F_eqw,early_l2_F,mid_l2_F,meanforce_vec_err,basin_occupancy_tv,cond_tv_weighted,cond_kl_weighted,n_basins_visited,n_transitions,n_round_trips,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,gram_lam_min_min,curl_pre_final,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application,final_neff_frac,final_n_kernels,final_l2_F_reweight
joint2d,pentane,fr_estimated,fr_active,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_active__trans__b2__N2048__T45000__ns6__fc1ab4fc8c8f,1216.1269153049216,2,0.7284222449713235,18.964846154457586,0.5339803509867586,0.9185344874068053,0.7355846096648231,3.091933470243875,0.4391984655988485,0.4049369562275873,0.5251976364561752,9,960688,230687,1616,704.9250420168067,704.9250420168067,0.00732421875,1.9462201321712465,11.107342305893438,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0015881960429516618,0.07286441909316729,0.00010957679488959866,0.00012548828125,7201.0,0.22441327593389807,,,
joint2d,pentane,fr_estimated,fr_active,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_active__trans__b2__N2048__T45000__ns6__fc1ab4fc8c8f,1216.1269153049216,3,0.7266853743597553,18.888162046691935,0.5343543407567851,0.8906348418791014,0.7363123612301393,3.0907952049013705,0.4390823909928425,0.3947229332838032,0.49068107523922866,9,963837,227419,1650,733.5264078349073,733.5264078349073,0.00537109375,1.8577064071218174,10.76642334678574,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.005114923839754467,0.0726906791105877,0.00011188224725732537,0.00013603855721393035,7201.0,0.22913484238300236,,,
joint2d,pentane,fr_estimated,fr_active,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_active__trans__b2__N2048__T45000__ns6__fc1ab4fc8c8f,1216.1269153049216,4,0.7190994614492624,18.703692464990425,0.5329954214267292,0.8943669842264975,0.725051158838713,3.06920365042555,0.4378522855506571,0.40379796969204773,0.5252839525598898,9,962845,225332,1654,727.4200485605272,727.4200485605272,0.0048828125,1.9812006214437616,10.800560278379665,production_joint2d_pentane_b2_trans_g48,9.996953987102186,-2.0426011850687854e-05,0.07193185668124771,0.00011215347694764615,0.000126953125,7201.0,0.22969032078877932,,,
joint2d,pentane,fr_estimated,fr_active,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_active__trans__b2__N2048__T45000__ns6__fc1ab4fc8c8f,1216.1269153049216,5,0.7321057063041693,19.17045007766207,0.5400245345221845,0.9566807846320778,0.7397204216568521,3.1076944004289544,0.44396813597147333,0.40442218807495656,0.5208775341916659,9,962762,231266,1744,660.1045011016682,660.1045011016682,0.005859375,2.0038128278533183,11.907548899492133,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0038136168499939937,0.07323287745934544,0.0001182561449798639,0.000130859375,7201.0,0.24218858491876127,,,
joint2d,pentane,fr_estimated,fr_active,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_active__trans__b2__N2048__T45000__ns6__fc1ab4fc8c8f,1216.1269153049216,6,0.7367219531502854,19.03163396877712,0.5428882203074468,0.8709825561371609,0.7470090110772638,3.112221409003788,0.44687826216266263,0.4098630314258275,0.5392642335147906,9,953463,231011,1762,675.6288659793814,675.6288659793814,0.00634765625,1.97567589037337,10.476281219179887,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.002623171543835938,0.07369464279827488,0.00011947667858630746,0.00014089707711442787,7201.0,0.24468823774475768,,,
joint2d,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_estimated__trans__b2__N2048__T45000__ns6__3cd11cccd909,1187.6532067600638,1,0.7321042078344268,18.839218860362493,0.522611087454554,0.8267256406138267,0.7379134199423892,3.1186386556999857,0.4308148707495406,0.39068365212497724,0.48985211472030993,9,940186,237557,165,1774.2402707275803,1774.2402707275803,0.00146484375,1.9969865451215003,9.303206488311446,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.005110976439009644,0.0732327275667137,1.1188224725732537e-05,1.611328125e-05,7201.0,0.022913484238300235,,,
joint2d,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_estimated__trans__b2__N2048__T45000__ns6__3cd11cccd909,1187.6532067600638,2,0.7237465516882283,18.88949492963782,0.5161730066916311,0.9185344874068219,0.7297337095208066,3.0932841742752735,0.42460388572873625,0.39005974239965147,0.4899920815884227,9,937214,234471,189,1709.1703341483292,1709.1703341483292,0.00244140625,1.9823116974143,11.021015261738826,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0013587759130570824,0.07239670729924211,1.281560286765727e-05,1.611328125e-05,7201.0,0.02624635467296209,,,
joint2d,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_estimated__trans__b2__N2048__T45000__ns6__3cd11cccd909,1187.6532067600638,3,0.7190991927665206,18.762657889223707,0.5104706366922599,0.8906348418790327,0.7256793238370793,3.091510249886301,0.41909170815088614,0.3745605958845798,0.443033115080124,9,941321,232949,185,1730.3234323432343,1730.3234323432343,0.001953125,1.9805415292505684,10.510386989878732,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.006273055515330548,0.07193182980478693,1.254437317733648e-05,1.611328125e-05,7201.0,0.025690876267185112,,,
joint2d,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_estimated__trans__b2__N2048__T45000__ns6__3cd11cccd909,1187.6532067600638,4,0.7173858548631293,18.689441318486296,0.5170132360399523,0.8943669842264937,0.7238373816349639,3.0697258159739773,0.42497557228701194,0.3936855178354077,0.5019822570981421,9,943716,234731,161,1775.7425910245554,1775.7425910245554,0.00146484375,1.9845953908334386,9.970219266397965,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0023649278754026156,0.07176044381005275,1.091699503541175e-05,1.46484375e-05,7201.0,0.022358005832523262,,,
joint2d,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_estimated__trans__b2__N2048__T45000__ns6__3cd11cccd909,1187.6532067600638,5,0.7253824789729613,19.068589505285143,0.5201700358970376,0.9566807846320797,0.7345170403465608,3.1046711064562995,0.4278135851941268,0.38804186225273773,0.4799233723510393,9,935076,236933,190,1718.9770491803279,1718.9770491803279,0.001953125,1.9455127937411565,10.844345165508216,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.004092410722047804,0.07256034987345457,1.2883410290237467e-05,2.4292599502487563e-05,7201.0,0.026385224274406333,,,
joint2d,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_estimated__trans__b2__N2048__T45000__ns6__3cd11cccd909,1187.6532067600638,6,0.7290909013917994,18.930253423144194,0.520338573509239,0.8709825561371622,0.7399519979926497,3.1096495156428134,0.4284345059287097,0.3959106023050527,0.5053608568575052,9,930100,238874,202,1705.0016260162602,1705.0016260162602,0.001953125,1.9668895323021516,10.033964422837133,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.005559180984862643,0.07293130510878151,1.3697099361199833e-05,1.708984375e-05,7201.0,0.028051659491737258,,,
joint2d,pentane,opes,opes,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__opes__trans__b2__N2048__T45000__ns6__482eb1798187,2133.1529978010803,1,1.8584108892047813,54.42039906052124,1.692087256976779,2.3260587758283995,2.108522340440663,4.926130859113549,0.34256606771328685,0.26668518945343334,0.3946679858022799,7,6830,0,0,,,,,,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0592391120838689,0.18589771360380924,,,,,0.5777011208585023,392.0,3.993309124040457
joint2d,pentane,opes,opes,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__opes__trans__b2__N2048__T45000__ns6__482eb1798187,2133.1529978010803,2,1.2110523790144718,39.48397813504316,0.8081436301164266,2.3260587758283995,1.4012869240528825,4.461699967846414,0.3133029640135216,0.2530280034065133,0.3233324286420858,9,14109,0,0,,,,,,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.06514901933039827,0.12114213795291451,,,,,0.5812024947889495,392.0,3.50561939840517
joint2d,pentane,opes,opes,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__opes__trans__b2__N2048__T45000__ns6__482eb1798187,2133.1529978010803,3,1.7780199431392663,55.176800190588445,1.6383823807976867,2.3260587758283995,2.07300531357679,4.858224689892953,0.3423999437232418,0.26865323540229225,0.39960523385524827,9,6750,0,0,,,,,,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0581772835832328,0.1778561695325618,,,,,0.5721536992800148,392.0,3.99267341518211
joint2d,pentane,opes,opes,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__opes__trans__b2__N2048__T45000__ns6__482eb1798187,2133.1529978010803,4,1.5859499491402946,46.81355819619667,1.3787091513790661,2.3260587758283995,1.7669877928584146,4.6923441403321595,0.33995726270639354,0.26799812928690425,0.40359794459288034,9,8938,0,0,,,,,,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.05352492188981183,0.15864331787326885,,,,,0.5675817959153385,392.0,3.8492447455503913
joint2d,pentane,opes,opes,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__opes__trans__b2__N2048__T45000__ns6__482eb1798187,2133.1529978010803,5,1.5315330902970026,41.78146231250454,1.3086301019312319,2.3260587758283995,1.6665447197584102,4.662416133174811,0.33889453788269397,0.27092581181680125,0.40506121334352935,9,8394,0,0,,,,,,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.04233352094031729,0.15319997393935667,,,,,0.5667853738726532,392.0,3.8354323956364613
joint2d,pentane,opes,opes,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__opes__trans__b2__N2048__T45000__ns6__482eb1798187,2133.1529978010803,6,1.844196093040927,51.958771054473665,1.665641908403184,2.3260587758283995,2.0129613695943283,4.87968668313069,0.342474708416287,0.26808393538948067,0.39854332944799,9,6860,0,0,,,,,,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.05421484864710214,0.18447580087097143,,,,,0.5696944480899374,392.0,3.9998640231550806
