stage,method,physics_tag,beta,h,M,seed,total_replacement_events,n_fr_applications,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,clones_per_fr_application
production,fr_oracle,b4_h6_w2_n10_a1.5,4.0,6.0,100,3,2049,20001,0.00010004382593370331,0.0009765625,0.10244487775611219,0.10244487775611219
production,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,2299,20001,0.00011225024686265687,0.00015625,0.11494425278736063,0.11494425278736063
production,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,1,2304,20001,0.00011249437528123593,0.00014453125,0.1151942402879856,0.1151942402879856
production,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,2277,20001,0.00011117608182090896,0.00015234375,0.11384430778461077,0.11384430778461077
production,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,2354,20001,0.00011493565946702665,0.0009765625,0.11769411529423529,0.11769411529423529
production,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,2169,20001,0.00010590290797960101,0.00014453125,0.10844457777111144,0.10844457777111144
production,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,2225,20001,0.00010863714626768661,0.00013671875,0.11124443777811109,0.11124443777811109
production,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,2104,20001,0.0001027292385380731,0.000140625,0.10519474026298685,0.10519474026298685
production,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,2240,20001,0.00010936953152342383,0.000154296875,0.111994400279986,0.111994400279986
production,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1879,20001,9.17434597020149e-05,0.0001484375,0.09394530273486326,0.09394530273486326
production,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1957,20001,9.555186303184841e-05,0.0001171875,0.09784510774461277,0.09784510774461277
production,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1972,20001,9.628424828758562e-05,0.000142578125,0.09859507024648767,0.09859507024648767
production,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1917,20001,9.359883568321585e-05,0.000138671875,0.09584520773961303,0.09584520773961303
production,fr_uniform,b1_h6_w2_n10_a1.5,1.0,6.0,100,0,1507,20001,7.358030535973202e-05,0.00010546875,0.07534623268836559,0.07534623268836559
production,fr_uniform,b1_h6_w2_n10_a1.5,1.0,6.0,100,1,1516,20001,7.401973651317434e-05,0.000103515625,0.07579621018949052,0.07579621018949052
production,fr_uniform,b1_h6_w2_n10_a1.5,1.0,6.0,100,2,1594,20001,7.782813984300785e-05,0.000109375,0.07969601519924004,0.07969601519924004
production,fr_uniform,b1_h6_w2_n10_a1.5,1.0,6.0,100,3,1511,20001,7.377560809459527e-05,0.0001015625,0.07554622268886556,0.07554622268886556
production,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1680,20001,8.202714864256788e-05,0.000166015625,0.08399580020998951,0.08399580020998951
production,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1563,20001,7.631454364781762e-05,0.00012890625,0.07814609269536524,0.07814609269536524
production,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1653,20001,8.070885518224089e-05,0.00012890625,0.08264586770661467,0.08264586770661467
production,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1648,20001,8.046472676366182e-05,0.0009765625,0.0823958802059897,0.0823958802059897
production,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1468,20001,7.167610369481526e-05,0.000126953125,0.07339633018349083,0.07339633018349083
production,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1506,20001,7.35314796760162e-05,0.00012109375,0.07529623518824059,0.07529623518824059
production,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1646,20001,8.036707539623019e-05,0.000146484375,0.08229588520573972,0.08229588520573972
production,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1595,20001,7.787696552672366e-05,0.00016015625,0.07974601269936503,0.07974601269936503
production,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,0,1469,20001,7.172492937853108e-05,0.00014453125,0.07344632768361582,0.07344632768361582
production,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,1,1487,20001,7.260379168541573e-05,0.0001640625,0.07434628268586571,0.07434628268586571
production,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,2,1470,20001,7.177375506224689e-05,0.0009765625,0.07349632518374082,0.07349632518374082
production,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,3,1631,20001,7.963469014049298e-05,0.001953125,0.0815459227038648,0.0815459227038648
