stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.04654087871313095,-1.7511819005012512,4.13183856010437,0.6410519182682037,0.714285671710968,65983623.0,-1.740839958190918,4.064488887786865,1.140762150938034
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.05534591153264046,-1.7132579982280731,4.4823020696640015,0.6401404738426208,0.714285671710968,65974414.0,-1.7047604322433472,4.427677154541016,1.0613456037647977
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.06415094435214996,-1.672397255897522,4.798935651779175,0.6394925564527512,0.714285671710968,65960669.0,-1.6625924110412598,4.7263336181640625,0.9755064550006218
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.07295597344636917,-1.6288969218730927,5.081842541694641,0.6391863077878952,0.714285671710968,65945138.0,-1.6204246282577515,5.024989128112793,0.89661020325217
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.08176100999116898,-1.5830544829368591,5.330939531326294,0.6392854601144791,0.714285671710968,65931174.0,-1.5768866539001465,5.302060127258301,0.8218396169988992
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.09056603908538818,-1.5351676642894745,5.5462257862091064,0.6398309916257858,0.714285671710968,65921284.0,-1.5278675556182861,5.492795944213867,0.7450915273340498
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.09937106817960739,-1.4855337738990784,5.727745175361633,0.6408355683088303,0.714285671710968,65917278.0,-1.4788483381271362,5.68353271484375,0.6755104527225025
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.1081760972738266,-1.4344505965709686,5.875433325767517,0.6422805935144424,0.714285671710968,65918227.0,-1.4297547340393066,5.871955871582031,0.6123361663676639
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.1169811338186264,-1.3822154700756073,5.989395022392273,0.6441165208816528,0.714285671710968,65921871.0,-1.3770136833190918,5.947054386138916,0.5510355475694314
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.1257861703634262,-1.3291262686252594,6.069451451301575,0.6462661474943161,0.714285671710968,65924925.0,-1.324272871017456,6.022152423858643,0.49587193464869
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.13459119200706482,-1.2754837274551392,6.115060806274414,0.6486302763223648,0.714285671710968,65923147.0,-1.2715317010879517,6.097250938415527,0.44623037621327816
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.14339622855186462,-1.221595674753189,6.1252219676971436,0.6510957628488541,0.714285671710968,65912512.0,-1.2182998657226562,6.081257343292236,0.4011645476975384
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.15220126509666443,-1.1677812337875366,6.0983641147613525,0.6535445004701614,0.714285671710968,65891271.0,-1.1649742126464844,6.047913551330566,0.3605823561303505
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.16100628674030304,-1.1143738627433777,6.03272557258606,0.6558626592159271,0.714285671710968,65857778.0,-1.1116490364074707,6.014570236206055,0.32410580719358745
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.16981132328510284,-1.0617225766181946,5.926630973815918,0.6579497307538986,0.714285671710968,65812763.0,-1.0600104331970215,5.904735565185547,0.2923035512782321
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.17861634492874146,-1.0101885795593262,5.778949856758118,0.6597258746623993,0.714285671710968,65760108.0,-1.0092413425445557,5.755496978759766,0.26408067409753966
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.18742138147354126,-0.960137665271759,5.589764833450317,0.6611371636390686,0.714285671710968,65709282.0,-0.958471953868866,5.606258392333984,0.23858266709184026
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.19622641801834106,-0.9119235873222351,5.361709356307983,0.662158340215683,0.714285671710968,65672910.0,-0.9104708433151245,5.402559757232666,0.2167432864999662
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.20503143966197968,-0.8658611625432968,5.101034641265869,0.6627929508686066,0.714285671710968,65671034.0,-0.8654685616493225,5.139863014221191,0.1980875447892795
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.21383647620677948,-0.8221868276596069,4.819286465644836,0.6630702465772629,0.714285671710968,65726391.0,-0.8204662799835205,4.877166748046875,0.1810375584604367
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.22264151275157928,-0.7810112833976746,4.533439040184021,0.6630406379699707,0.714285671710968,65859577.0,-0.7776234745979309,4.617844104766846,0.16617125351835182
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.2314465343952179,-0.7422789335250854,4.264332413673401,0.6627687364816666,0.714285671710968,66087503.0,-0.7398192882537842,4.366394996643066,0.1540705372419022
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.2402515709400177,-0.7057492882013321,4.033124923706055,0.662325918674469,0.714285671710968,66414941.0,-0.7020150423049927,4.114945411682129,0.1428509872414785
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.2490566074848175,-0.6710152477025986,3.8564606308937073,0.6617828011512756,0.714285671710968,66834557.0,-0.6647517681121826,3.8852031230926514,0.13259183388838175
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.2578616440296173,-0.6375610083341599,3.7424336671829224,0.6612025201320648,0.714285671710968,67327265.0,-0.6314558386802673,3.8146376609802246,0.12404986631157824
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.2666666805744171,-0.6048449873924255,3.688776671886444,0.6606355607509613,0.714285671710968,67865164.0,-0.5981597304344177,3.7440719604492188,0.11605815665515194
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.27547168731689453,-0.5723854750394821,3.6841638684272766,0.6601165235042572,0.714285671710968,68418514.0,-0.5648640394210815,3.673506736755371,0.10858139042397667
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.28427672386169434,-0.539824903011322,3.7117366194725037,0.6596634089946747,0.714285671710968,68961864.0,-0.5319480895996094,3.708451271057129,0.1016634790944092
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.29308176040649414,-0.5069597661495209,3.753343105316162,0.6592790633440018,0.714285671710968,69477062.0,-0.4990566074848175,3.7501299381256104,0.09519097815702243
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.30188679695129395,-0.47373632341623306,3.7931160926818848,0.6589548289775848,0.714285671710968,69953476.0,-0.4661649167537689,3.791808843612671,0.0891305178863541
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.31069183349609375,-0.4402228221297264,3.8192591667175293,0.6586753278970718,0.714285671710968,70386948.0,-0.43281394243240356,3.8029561042785645,0.08337928022450407
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.31949687004089355,-0.4065712094306946,3.8244561553001404,0.6584246009588242,0.714285671710968,70777774.0,-0.3993176817893982,3.80446195602417,0.077976485918526
