stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,0.8,2.6391517594719702,10.261220962838348,0.0,0.7291666666666666,0.22916666666666666,0.041666666666666664,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,1.2,2.1820610684369535,6.059864102546637,0.0,0.6354166666666666,0.22916666666666666,0.13541666666666666,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,1.6,1.8176523127677717,5.156766217626792,3.0,0.46875,0.3541666666666667,0.17708333333333334,90.35294117647058,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,2.0,1.6525684350481529,4.554471765904128,3.0,0.3333333333333333,0.3541666666666667,0.3125,90.35294117647058,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,2.4,1.3207182925164382,3.6330039118933937,3.0,0.2916666666666667,0.23958333333333334,0.46875,90.35294117647058,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,2.8000000000000003,1.15457023109792,3.3236009523320873,6.0,0.25,0.2916666666666667,0.4583333333333333,85.33333333333333,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,3.2,1.0382444589552395,3.075876410652667,6.0,0.22916666666666666,0.3333333333333333,0.4375,85.33333333333333,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,3.6,0.9280846232347154,2.7833310652039778,6.0,0.16666666666666666,0.3541666666666667,0.4791666666666667,85.33333333333333,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,4.0,0.842258170518954,2.540829891337349,6.0,0.15625,0.3125,0.53125,85.33333333333333,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,0.0,0.6579761139095827,4.082445301922642,0.0,1.0,0.0,0.0,96.0,0.010416666666666666
