seed,init,region,k,pilot_population,first_touch_ps,T_hit_ps,T_hit_frac,T_est_ps,T_est_frac,occ_over_target_final,occ_over_target_secondhalf,mean_occupancy,mean_target,max_rel_deficit_after_hit,max_rel_deficit_second_half,frac_below_half_target,integrated_deficit,entries_corridor_aware,entries_naive,first_entry_ps,final_pmf_err_kT,integrated_pmf_err_kT,marginal_tv
7,concentrated,B1,1,0.18978722028284603,0.0,0.0,0.0,32.0,0.10666666666666667,0.9250096333344844,0.9076694231856219,0.11522722355877184,0.12280741927461762,0.8200023936588157,0.33007006033207054,0.013245033112582781,3.532799601858001,1357,66393,0.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
7,concentrated,B2,2,0.18404660798157213,0.0,0.0,0.0,48.0,0.16,1.0592910841155212,1.0713172283484487,0.14680371676481127,0.137993126962072,0.8965876412775126,0.1293504505798582,0.039735099337748346,2.7925411480252533,1897,97232,0.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
7,concentrated,B3,3,0.09004080251099764,4.108,6.0,0.02,10.0,0.03333333333333333,1.1058078526251338,1.102174916267768,0.14750322805836258,0.14221997274254752,0.921803121871279,0.1155917067840157,0.013245033112582781,4.346354642033175,1493,0,6.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
7,concentrated,B4,4,0.07008868272110982,0.0,0.0,0.0,42.0,0.14,1.1402307946991104,1.1389779287462658,0.10410883323922933,0.09166780695852027,0.7980770163241976,0.17803073659115312,0.026490066225165563,1.2173363342560524,1259,71144,0.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
7,concentrated,B5,5,0.037994473226984134,0.0,0.0,0.0,46.0,0.15333333333333332,0.9701683134726051,0.9088584789992077,0.08730666031946493,0.09441258503789689,0.9100889090869205,0.3115641090683715,0.026490066225165563,3.7300630667287757,789,69131,0.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
7,concentrated,B6,6,0.005483067625717974,4.522,6.0,0.02,16.0,0.05333333333333334,0.9250103216123411,0.8089482894737853,0.08250841303354893,0.10022653911826297,0.6739222116179099,0.4675816591444676,0.019867549668874173,6.129476255728607,614,0,6.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
7,concentrated,B7,7,0.001422569912857225,5.095,6.0,0.02,8.0,0.02666666666666667,1.2637788984571585,1.4775610033036437,0.08510907719961311,0.06264691417902055,0.9181990446682361,0.0,0.006622516556291391,1.4002557604662123,603,0,6.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
8,stratified,B0,0,0.4201089937704364,0.0,0.0,0.0,46.0,0.15333333333333332,0.9743955291455252,0.949121262205357,0.23557644456413737,0.238410383997364,0.543768764554155,0.16958191455560961,0.019867549668874173,6.745628647224707,4620,32710,0.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
8,stratified,B1,1,0.18978722028284603,0.0,0.0,0.0,22.0,0.07333333333333333,1.0650877742848162,0.917934381935506,0.1181445499824229,0.12458021431306858,0.9100011968294078,0.2281080932419081,0.013245033112582781,3.4981463103629733,1435,66511,0.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
8,stratified,B2,2,0.18404660798157213,0.0,0.0,0.0,42.0,0.14,1.0330618576675539,1.076479685013908,0.14651787777244138,0.13685445290963216,0.9284068285767395,0.14701110330299105,0.033112582781456956,2.789100388786963,2004,96706,0.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
