run_id,study,stage,name,method,seed,beta,h,w,n_dim,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_gamma_from_barrier,n_steps,n_replicas,had_nan,l2_f_common,l2_fp_common,l2_f_native,l2_fp_native,primary_estimator,l2_f_compact,l2_fp_compact,l2_f_transition,l2_fp_transition,l2_f_stretched,l2_fp_stretched,integrated_l2_f,normalized_anytime_l2_f,tau_abs,tau_rel,marginal_kl,marginal_tv,marginal_entropy,min_density,covered_fraction,marginal_l2_ref,marginal_l2_uniform,n_round_trips,n_barrier_crossings,n_compact_to_stretched,n_stretched_to_compact,first_passage_step,iat_frac_compact,mixing_ess,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,opes_max_bias,opes_sigma_cur_final,runtime_seconds,wall_seconds,budget,force_evaluations,device,cuda_visible_devices
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,100,0.09,16.0,,40000,0,False,0.25242751482260445,2.7009517934204723,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.755096912384033,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,100,0.12,16.0,,40000,0,False,0.7396136486699827,4.062741521509959,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.734569311141968,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,100,0.18,16.0,,40000,0,False,1.022212393282405,4.572788953438848,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.743388891220093,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,200,0.06,16.0,,40000,0,False,0.2786213791265705,2.755144181039405,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.243767261505127,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,200,0.09,16.0,,40000,0,False,0.3203219720297816,3.043161763149972,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.787314653396606,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,200,0.12,16.0,,40000,0,False,0.3307484133781573,2.949674580883688,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.809754133224487,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,200,0.18,16.0,,40000,0,False,0.9859395993303208,4.512305817300938,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.88581919670105,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,50,0.06,16.0,,40000,0,False,1.077581783322346,4.679899726927794,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.766599416732788,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,50,0.09,16.0,,40000,0,False,1.12932237110247,4.761995491190088,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.00885725021362,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,50,0.12,16.0,,40000,0,False,1.0379871706991581,4.614267287789105,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0068838596344,nan,nan,0.0,,
