run_id,stage,method,physics_tag,beta,h,w,n_dim,M,a,beta_h,seed,n_steps,n_replicas,final_l2_f,final_l2_fp,integrated_l2_f,integrated_l2_fp,l2_f_transition,l2_fp_transition,neff_transition_mean,neff_transition_min,neff_compact,neff_stretched,neff_median_eval,neff_transition_ratio,neff_transition_min_ratio,transition_window_mean_force_error,marginal_l2_uniform,marginal_l2_ref,marginal_tv_ref,marginal_kl_ref,marginal_tv_uniform,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,total_replacement_events,score_std,score_max,score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,ess_fraction,had_nan
production__abf__b2_h4_w2_n14_a1.5__seed2__N1024__T120000__8ebf8b24962c,production,abf,b2_h4_w2_n14_a1.5,2.0,4.0,2.0,14,196,1.5,8.0,2,120000,1024,0.015153997029642693,0.09499253882529013,19.622142262024273,85.38197344049382,0.010186229103281777,0.048884532155345196,73083787.07142857,64553376.0,64857232.1,90832601.0,72852632.0,1.003172913113538,0.8860815900240914,0.048884532155345196,0.10116873426984214,1.1145698122957517,0.5511807000319622,2.122169167692947,0.05413479089002485,489239,488674,977913,488674,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n14_a1.5__seed3__N1024__T120000__ac9a34b6188c,production,abf,b2_h4_w2_n14_a1.5,2.0,4.0,2.0,14,196,1.5,8.0,3,120000,1024,0.015495458483744161,0.09879915580402698,19.20759755852474,92.0047677867766,0.009820536562893058,0.04992659320733973,72896042.78571428,64714000.0,65007837.0,90645570.2,72515332.0,1.0052500729875204,0.8924181716495485,0.04992659320733973,0.09642941576449675,1.1237033581685552,0.5577349828721043,2.1738729945556416,0.05547741014171078,487735,487168,974903,487168,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n7_a1.5__seed0__N1024__T120000__967b4dfde01b,production,abf,b2_h4_w2_n7_a1.5,2.0,4.0,2.0,7,49,1.5,8.0,0,120000,1024,0.017184463078521953,0.15692694036135307,25.327222745990134,118.33564590289353,0.0096733591488839,0.052024494696222855,81093814.14285715,72799400.0,73881345.6,92213657.1,79537196.0,1.0195709456850497,0.9152874838584956,0.052024494696222855,0.06336342956427474,1.157071512381701,0.58494367799793,2.3276606748004536,0.03211715108080081,540013,539509,1079522,539509,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n7_a1.5__seed1__N1024__T120000__b39d0dde71f7,production,abf,b2_h4_w2_n7_a1.5,2.0,4.0,2.0,7,49,1.5,8.0,1,120000,1024,0.015780452598189547,0.15849045595698621,24.315887483856766,113.21423698069381,0.008021651572571436,0.06173834823764687,80794853.28571428,72365112.0,73525268.6,92919238.5,79265036.0,1.0193000263787717,0.9129512285845679,0.06173834823764687,0.06380357339753405,1.1750963231883387,0.5956883651153252,2.417038294812198,0.03479512632973861,537375,536879,1074254,536879,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n7_a1.5__seed2__N1024__T120000__0cefab4bba1e,production,abf,b2_h4_w2_n7_a1.5,2.0,4.0,2.0,7,49,1.5,8.0,2,120000,1024,0.022404327127178835,0.1620290459348008,24.738658365485318,110.7241028483129,0.009260645990837708,0.08335168756618981,81715632.42857143,72507208.0,72717684.8,92853077.3,80382932.0,1.0165793955932265,0.9020224343147871,0.08335168756618981,0.06733113891959124,1.1497514930437644,0.5860681561275183,2.3090666232545662,0.03692378078181767,546173,545662,1091835,545662,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n7_a1.5__seed3__N1024__T120000__0b448ad9d16e,production,abf,b2_h4_w2_n7_a1.5,2.0,4.0,2.0,7,49,1.5,8.0,3,120000,1024,0.023332115374734487,0.16660598487638362,22.433213145476717,116.16092123630949,0.011434260378558029,0.08054507354284755,81084438.14285715,71474232.0,72308307.2,94150128.9,79792452.0,1.016191834070435,0.8957517936658971,0.08054507354284755,0.04832093382718134,1.1680065776885131,0.5909287799887499,2.3590359276878443,0.02278676962262277,540150,539639,1079789,539639,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h6_w2_n10_a1.5__seed0__N1024__T120000__950a4d31195b,production,abf,b2_h6_w2_n10_a1.5,2.0,6.0,2.0,10,100,1.5,12.0,0,120000,1024,0.02497689216826862,0.16143622442049027,49.147166973107716,213.6876334405827,0.016113018372566856,0.05887507207120743,75905948.85714285,68356800.0,72599354.4,97716522.6,77146764.0,0.9839161738157008,0.8860617925594391,0.05887507207120743,0.0942612392682744,1.2897565256892798,0.6068776217459095,3.639994834217239,0.05630059169863792,502642,502073,1004715,502073,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h6_w2_n10_a1.5__seed1__N1024__T120000__28693253a237,production,abf,b2_h6_w2_n10_a1.5,2.0,6.0,2.0,10,100,1.5,12.0,1,120000,1024,0.023859104664987273,0.16006041851687855,29.37474991651721,143.4896973697758,0.01888259129550392,0.056003595688864864,75968582.14285715,68145296.0,71289662.7,98768552.4,76500364.0,0.9930486362503732,0.890783944505153,0.056003595688864864,0.10066800905155764,1.2848428863693657,0.6024726587903572,3.781028507324744,0.055190956181591436,503007,502428,1005435,502428,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h6_w2_n10_a1.5__seed2__N1024__T120000__e12ebd670251,production,abf,b2_h6_w2_n10_a1.5,2.0,6.0,2.0,10,100,1.5,12.0,2,120000,1024,0.02714822135779764,0.16211430015379583,37.37486014430034,176.50342817034857,0.01945704858707715,0.07101178031127925,75455689.71428572,67975056.0,71610613.1,98900176.0,76274324.0,0.9892672364331373,0.891191851139841,0.07101178031127925,0.08085456376347287,1.3126236243018905,0.6212531384675783,3.8751161433919776,0.04962864042507536,496490,495904,992394,495904,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h6_w2_n10_a1.5__seed3__N1024__T120000__996d000bc42f,production,abf,b2_h6_w2_n10_a1.5,2.0,6.0,2.0,10,100,1.5,12.0,3,120000,1024,0.024203711823766526,0.1646796069726294,237.64834786504576,1005.9210215239676,0.017009941713125934,0.055994626800064375,76384941.14285715,69145400.0,71870906.4,97795077.6,76566752.0,0.9976254594534342,0.9030734384553755,0.055994626800064375,0.1237576491419515,1.233764740092414,0.5709251638322294,3.361304029723148,0.07209362418415066,503818,503267,1007085,503267,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
