x,F_ref,Fprime_ref,p_ref
-0.645,-4.075337889293232,3.7185823454728264,0.05427814362169181
-0.6299999999999999,-4.019237412109781,3.7599228932790982,0.043367908218120504
-0.6150000000000002,-3.9625882090179623,3.791658569590491,0.034574724634988695
-0.6000000000000001,-3.9055385695647225,3.813206681734843,0.027520312143520895
-0.585,-3.8482465317371064,3.8238442413074853,0.02188400936445503
-0.5700000000000003,-3.790882263385236,3.822670294055594,0.01739702354067794
-0.5550000000000002,-3.7336310358694886,3.808565107747419,0.013836281282781549
-0.54,-3.676696808752352,3.780150479064074,0.011018297634634164
-0.5249999999999999,-3.6203063552012233,3.7357590163410355,0.008793347748698046
-0.5100000000000002,-3.564713703988856,3.673425283253209,0.0070401177305654365
-0.4950000000000001,-3.5102044351049466,3.590917906142051,0.005660927893650868
-0.48,-3.4570990315059813,3.485837966100739,0.004577560449141976
-0.4650000000000003,-3.405754078134767,3.3558123890389346,0.003727681243092666
-0.4500000000000002,-3.356559688132604,3.198806615127477,0.0030618179158106206
-0.43500000000000005,-3.309931291541891,3.0135619015045156,0.0025408412915452223
-0.41999999999999993,-3.266294106717953,2.8001237411420936,0.0021338897842187988
-0.40500000000000025,-3.226059527591622,2.5603710661625847,0.0018166755093601034
-0.3900000000000001,-3.18959446444687,2.298398222465372,0.0015701135395873103
-0.375,-3.1571871468804558,2.020577182330612,0.0013792207485111157
-0.3600000000000003,-3.1290152461863325,1.7351733179952915,0.00123223680921433
-0.3450000000000002,-3.1051232138494047,1.451514445205966,0.0011199263593488985
-0.33000000000000007,-3.0854145052312445,1.1788770179501886,0.0010350276052402492
-0.31499999999999995,-3.0696609025482973,0.9253712109420973,0.0009718184103130588
-0.30000000000000027,-3.0575267493854987,0.6971079960723231,0.0009257760453213308
-0.28500000000000014,-3.048602417773983,0.49781526198357257,0.0008933112168246177
-0.27,-3.04244005291197,0.3289056188523616,0.0008715607481389884
-0.2549999999999999,-3.0385856484439078,0.18987033261530722,0.0008582264135425902
-0.2400000000000002,-3.036603852955425,0.07882591229612508,0.0008514499910577351
-0.2250000000000001,-3.036094404375957,-0.006936881695953857,0.0008497166777718016
-0.20999999999999996,-3.036700929806057,-0.07049440751085913,0.0008517806795923934
-0.19500000000000028,-3.0381137954288833,-0.11495742548535065,0.0008566081143385015
-0.18000000000000016,-3.0400689011959576,-0.14326026067562608,0.0008633334152696053
-0.16500000000000004,-3.0423440850993577,-0.15804823301872073,0.0008712262452318911
-0.1499999999999999,-3.044754396848326,-0.16163483088046832,0.0008796665749232506
-0.13500000000000023,-3.0471470896939747,-0.15600318671555555,0.0008881260800255345
-0.1200000000000001,-3.049396841404155,-0.14283245704126435,0.0008961544019780524
-0.10499999999999998,-3.05140147138641,-0.12353584534206798,0.0009033691209368482
-0.0900000000000003,-3.0530782613348864,-0.09930201699512889,0.000909448526967041
-0.07500000000000018,-3.054360891857362,-0.07113527642607712,0.0009141264625891507
-0.06000000000000005,-3.05519695745121,-0.03989227887945524,0.0009171886588642409
-0.04499999999999993,-3.0555460008712303,-0.006314533683196568,0.0009184701078839525
-0.03000000000000025,-3.055378003836626,0.02894318739917454,0.0009178531141954012
-0.015000000000000124,-3.0546722765452308,0.0652879652126293,0.0009152657518892513
0.0,-3.0534166989165348,0.10216657829999999,0.0009106805269294675
0.01499999999999968,-3.0516072791962308,0.13904519138736957,0.0009041131088128205
0.029999999999999805,-3.0492480091386263,0.17538996920082445,0.0008956210539929419
0.04499999999999993,-3.0463510088242303,0.2106476902831966,0.0008853024972829357
0.06000000000000005,-3.04293696805521,0.24422543547945527,0.0008732948378950032
0.07499999999999973,-3.0390359051123625,0.27546843302607626,0.0008597734949548129
0.08999999999999986,-3.0346882772408863,0.3036351735951278,0.000844950854332106
0.10499999999999998,-3.02994648994341,0.32786900194206803,0.000829075575737028
0.1200000000000001,-3.024876862612155,0.34716561364126436,0.0008124324778753511
0.1349999999999998,-3.0195621135529747,0.3603363433155552,0.0007953432721755671
0.1499999999999999,-3.014104423358326,0.3659679874804682,0.0007781684750027693
0.16500000000000004,-3.0086291142603576,0.3623813896187208,0.0007613108979944569
0.17999999999999972,-3.0032889330079575,0.34759341727562637,0.0007452212008338868
0.19499999999999984,-2.9982688298918836,0.319290582085353,0.0007304060962617785
0.20999999999999996,-2.993790966920057,0.274827564110859,0.0007174399306845415
0.2250000000000001,-2.990119444140957,0.21127003829595395,0.0007069805343067284
0.23999999999999977,-2.9875638953714247,0.1255072443038782,0.000699790453184021
0.2549999999999999,-2.9864806935109076,0.014462823984692515,0.0006967649550841114
0.27,-2.98727010062997,-0.12457246225236153,0.0006989685571949858
0.2849999999999997,-2.990367468142983,-0.2934821053835689,0.0007076822749120914
0.2999999999999998,-2.9962268024054985,-0.49277483947231737,0.0007244643583818005
0.31499999999999995,-3.005295958219297,-0.7210380543420972,0.0007512279910835845
0.33000000000000007,-3.0179845635532443,-0.9745438613501891,0.0007903402985433963
0.34499999999999975,-3.0346282748224036,-1.2471812886059548,0.0008447480822876691
0.3599999999999999,-3.055455309810332,-1.5308401613952842,0.0009181369801970625
