phi,gamma,method,seed,final_l2_f,final_l2_fp,int_l2_f,final_ess,repl_fraction,score_std
0.75,1.0,fr_estimated,3,0.023778778358515856,0.07835963102117728,2.4255276226522984,369.0,0.000544189453125,0.15075175755301373
0.75,1.0,fr_estimated,4,0.025335080593731966,0.08165806267631541,2.343082509014484,369.0,0.000577392578125,0.156358028036562
0.75,1.0,fr_estimated,5,0.023804200127105626,0.08308227777314012,2.1124165582129724,363.0,0.0005615234375,0.15594592042711275
0.75,1.0,fr_estimated,6,0.02429370319813494,0.07852817517378945,2.4260821331992215,379.0,0.000572265625,0.15483000957563148
0.75,1.0,fr_estimated,7,0.032688770186315316,0.08650087801373829,2.7546568539660345,368.0,0.0005625,0.16026242144007277
0.75,1.0,fr_estimated,8,0.03332054202443317,0.0885252911130719,2.820566306494943,376.0,0.0005400390625,0.15494928528696691
0.75,1.0,fr_estimated,9,0.033808053094984754,0.08912707117636896,2.999949895679642,377.0,0.00056298828125,0.15785611694879764
0.75,30.0,fr_estimated,0,0.02899552168945622,0.09125555704452608,2.048621870388563,86.0,0.009785888671875,0.09228965338032341
0.75,30.0,fr_estimated,1,0.019723842376212667,0.08389468896546645,1.4188790468018917,95.0,0.00990087890625,0.09208919696347519
0.75,30.0,fr_estimated,10,0.032080306015672695,0.09718797741993607,2.2891835853259446,83.0,0.01003515625,0.0929471054622013
0.75,30.0,fr_estimated,11,0.029448638529565085,0.09085647756022651,1.9732424633083538,77.0,0.009943115234375,0.09234613235490925
0.75,30.0,fr_estimated,12,0.027553828012795763,0.0938958230993241,1.9286753434648185,78.0,0.009826904296875,0.09239568969259622
0.75,30.0,fr_estimated,13,0.028064187473357826,0.09240719265454052,1.8376171135406993,81.0,0.00987255859375,0.09296316800443698
0.75,30.0,fr_estimated,14,0.02775344656436589,0.09300534430105853,2.068149605756881,90.0,0.009790771484375,0.09215548984342024
0.75,30.0,fr_estimated,15,0.02980311189996807,0.09717974843575411,2.08135314786455,75.0,0.009908203125,0.09322063323693575
0.75,30.0,fr_estimated,16,0.02816066802171744,0.09054239893032916,2.0177675714812526,86.0,0.009892578125,0.09236198965409952
0.75,30.0,fr_estimated,17,0.023189682491470708,0.08674596308986164,1.7188102833260501,71.0,0.009946044921875,0.09266577287649706
0.75,30.0,fr_estimated,18,0.024044416516910885,0.0929285324599795,1.608412649030269,84.0,0.00991796875,0.09314294485331794
