phi,gamma,method,seed,final_l2_f,final_l2_fp,int_l2_f,final_ess,repl_fraction,score_std
0.9,15.0,abf,16,0.027092092521302794,0.13878678018404236,2.735294035962765,512.0,0.0,0.0
0.9,15.0,abf,17,0.031775145928520224,0.13595922354278828,2.848721905594361,512.0,0.0,0.0
0.9,15.0,abf,18,0.03137122948537984,0.1358198083519993,2.766029026900961,512.0,0.0,0.0
0.9,15.0,abf,19,0.0260000807551253,0.13374249399967125,2.75899683185117,512.0,0.0,0.0
0.9,15.0,abf,2,0.03178969786911499,0.13609901413019318,3.051502238395643,512.0,0.0,0.0
0.9,15.0,abf,3,0.028679413263072988,0.13780261137787791,2.8947439680615847,512.0,0.0,0.0
0.9,15.0,abf,4,0.032823722873233534,0.1390415900770205,3.198670839136269,512.0,0.0,0.0
0.9,15.0,abf,5,0.03478429343840951,0.1397736281351343,3.3437454114412875,512.0,0.0,0.0
0.9,15.0,abf,6,0.032699051691560455,0.1382143552749845,2.714715215428374,512.0,0.0,0.0
0.9,15.0,abf,7,0.02843611533076686,0.13312268397543675,2.7009479686163775,512.0,0.0,0.0
0.9,15.0,abf,8,0.03430518670624372,0.14052207101603295,2.9055182019234636,512.0,0.0,0.0
0.9,15.0,abf,9,0.0343149355741004,0.1382542992788697,3.1846280467932324,512.0,0.0,0.0
0.9,1.0,abf,0,0.03241770714291578,0.13475275633629588,3.228944159475425,512.0,0.0,0.0
0.9,1.0,abf,1,0.02957526598405284,0.13796502823469625,2.737604412979843,512.0,0.0,0.0
0.9,1.0,abf,10,0.03532425989370139,0.13920539577000945,3.128630349883803,512.0,0.0,0.0
0.9,1.0,abf,11,0.027825550036624146,0.13447369453704433,2.6777297284309007,512.0,0.0,0.0
0.9,1.0,abf,12,0.03240929003531573,0.1368613495290111,2.9755402247825833,512.0,0.0,0.0
0.9,1.0,abf,13,0.02918203319660872,0.14022201861492448,2.642215759079852,512.0,0.0,0.0
0.9,1.0,abf,14,0.026840781884254216,0.1358802237757856,2.686416561008273,512.0,0.0,0.0
0.9,1.0,abf,15,0.027406332018242396,0.13743693494271997,2.6882224819355844,512.0,0.0,0.0
0.9,1.0,abf,16,0.030057436451127524,0.1374454141221484,3.001419808236033,512.0,0.0,0.0
0.9,1.0,abf,17,0.03153434026979796,0.13799573036911547,3.0082828295276074,512.0,0.0,0.0
0.9,1.0,abf,18,0.03206019602730807,0.13669337993175276,2.7284658380682503,512.0,0.0,0.0
0.9,1.0,abf,19,0.02967825679250575,0.13392250610594517,2.9198551043482532,512.0,0.0,0.0
0.9,1.0,abf,2,0.03240133629407462,0.13655992752827628,3.3190924389165706,512.0,0.0,0.0
