kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,dist_cond_tv_weighted,dist_cond_kl_weighted,dist_cond_basin_err_weighted,dist_cond_support_fraction,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,4,1.164193603547987,76.39395937570028,9.045857463300116,425.84401394229803,3.5825165135285837,1.6183884230840804,0.1881720430107527,5976157.407498745,4983033,11705,3207,572,0,0,,,,0.1728515625,0.1484375,0.08556905523531584,0.2842693112319381,0.051211674055439665,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.08466679838766773,0.12055140890520172
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,5,1.154711364427,76.40349351605659,9.046301711763771,425.3506443022258,3.6716760457055844,1.596858611701073,0.20430107526881722,6009907.494770594,5003318,11616,2468,413,0,0,,,,0.1767578125,0.1435546875,0.0871459135888301,0.2867561950718647,0.05186545000251521,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.0682639560389472,0.11956952987569382
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,6,1.1574874239812798,75.00515497332705,9.023240770403122,422.58488803607815,3.3902416516922824,1.6109184114973547,0.1881720430107527,5983178.443685817,4963200,11458,2213,459,0,0,,,,0.18359375,0.142578125,0.0870294432810252,0.28353365511855366,0.057737100407987796,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.08434704506424169,0.11985698884252999
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,7,1.1609353065570893,75.97689203126254,9.11157791372229,425.4842809236187,3.684632653724869,1.5848142841556003,0.20430107526881722,5946252.775396604,5048052,11770,2970,538,0,0,,,,0.1787109375,0.1826171875,0.09139456918151506,0.30253349640153987,0.05456356324066185,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.05449492124877753,0.12021401459923128
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,0,1.2592938395178856,86.41412451404004,9.645064676286415,459.12465993943664,4.145727368465125,1.8556926989971707,0.22459893048128343,5757734.698861141,4946115,10428,3247,624,0,0,,,,0.236328125,0.1142578125,0.07589362339200065,0.30795821056723094,0.03458167491026031,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.11420319721705376,0.12823032226298253
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,1,1.3033303469232616,88.63366986866532,9.663256999463202,464.42269405837067,3.8646340166886852,1.9703970409601703,0.20855614973262032,5722285.412086911,4919198,10330,2912,203,0,0,,,,0.1982421875,0.1103515625,0.07533320687473462,0.3010072735904271,0.035421565626474624,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.14152644327992495,0.13271443499245433
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,2,1.2977424352057374,89.82106281921978,9.658795726581541,465.84419430910316,4.019562656925594,1.9861888525932867,0.2192513368983957,5746159.713641651,4950758,10375,2857,286,0,0,,,,0.2119140625,0.1123046875,0.07747202103326548,0.3062654859153028,0.03259284960828291,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.1470890109656479,0.13214543378095828
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,3,1.2636280853102873,88.12180974358012,9.625884712032788,462.4153849490377,4.277811670280793,1.8946942283650876,0.22459893048128343,5771371.493253138,4941502,10410,3493,921,0,0,,,,0.1904296875,0.1376953125,0.07599253544269584,0.30272013112075224,0.03339590004716507,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.12493810342955237,0.1286716662267864
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,4,1.3027696963093025,89.15987972272022,9.657153796204865,464.6898301133128,4.06309680241009,1.9677069754549987,0.21390374331550802,5726323.500267715,4936672,10475,3642,706,0,0,,,,0.2001953125,0.1318359375,0.07606863459771336,0.3047991965400936,0.03641987381814992,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.14305154855775518,0.13265734552957534
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,5,1.2545695548472275,86.69406582172891,9.622228373013538,459.45598706653317,4.219893230057441,1.8554573858657433,0.22459893048128343,5778960.679750676,4945739,10485,3430,480,0,0,,,,0.1845703125,0.119140625,0.07803032787562976,0.3079801725602941,0.0362361016403304,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.11371378702434924,0.12774926174575452
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,6,1.305824934528019,86.65127379566283,9.652572849617012,459.31618135350254,3.662828513350416,1.9421049331752587,0.20320855614973263,5723152.0284020705,4897101,10198,2906,682,0,0,,,,0.1923828125,0.12109375,0.07785677017578027,0.30273959564233444,0.04311303847562601,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.1391117370680479,0.13296845177744374
dist,pentane,abf,abf,trans,1.8,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.8__N1024__T80000__ns8__114bd6dc2f79,1025.769992060028,7,1.2599221688994684,87.13182004447569,9.634435172375687,460.7200428120468,4.1168421049861506,1.8893787408218135,0.22459893048128343,5745986.124914995,4962934,10540,3531,693,0,0,,,,0.1865234375,0.1376953125,0.07720150058422158,0.30555440642898934,0.035269207372451386,0.8333333333333334,screen_dist_pentane_b1.8_trans_g256,9.820562073728937,0.1275767969281475,0.12829430326293606
